|Job Applicants:|Posted:|UG :|experience|job_desc|key_skills|position|salary|Openings:|PG :|Doctorate :
0|143|30 days ago|Any Graduate|5 - 9 years|"Job description
Adequate knowledge on ITIL & ITSM. V3 certification on ITIL preferred.

SME with excellent knowledge in SAP Solman, SAP GRC - Access control module and its sub-modules SOD & SOX.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - ERP, CRM
Employment TypeFull Time, Temporary/Contractual
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
EAMSAP ECCSolution ManagementSap Grc Access ControlSap Security AdministrationITILARMSAP GRCSAP Solman"|['EAM', 'SAP ECC', 'Solution Management', 'ITIL', 'ARM', 'SAP GRC']|SAP LEAD Security Consultant|Not Disclosed|||
1|96|30 days ago|B.Tech/B.E. in Any Specialization|3 - 6 years|"Job description
• Have 3-5 Years of experience in SAP ABAP.
• Worked on Data Dictionary Objects, Dialog Programming, Reports (Classical & interactive), Enhancements (BADI's, User exist, Customer exist), RFCs, Module Pool, Forms.
• Should have basic FI knowledge.

Required Candidate profile
• Experienced in developing Classical, Interactive and ALV Reports.
• Worked on Lock objects and table maintenance events, User Exit and BADI, Webdynpro, designing of forms using SMARTFORMS
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - ERP, CRM
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
ABAP"|['ABAP']|SAP ABAP Programmer|Not Disclosed|3||
2|Less than 10|30 days ago|Any Graduate|2 - 5 years|"Job description
Developer must have knowledge and work experience - Front End technologies - MySQL, HTML, CSS, JS, MERN, Mongo, Express, React.
RoleSoftware Developer
Industry TypeEducation / Training
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
Mern StackCSSExpressHtml5JSMongoDBReact.Js"|['CSS', 'Express', 'Html5', 'JS', 'MongoDB', 'React.Js']|Senior Front End Developer - Chandigarh|₹ 3,00,000 - 7,00,000 P.A.|||
3|14|25 days ago|Any Graduate|4 - 6 years|"Job description
#,.net MVC,.net core, SQL server
Hands-on experience with designing and developing RESTful APIs, REST and JSON , JWT, Postman knowledge
SQL Server database queries

Required Candidate profile
Exposure to IIS
PowerShell/Python script(good to have).
Solid understanding of network technologies HTTP, OAUTH 2.0, SAML, Authentication protocols
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
Oauth.Net Core.NetHTTPPython"|['Oauth', '.Net', 'HTTP', 'Python']|Dot Net Developer For client location|Not Disclosed|2||
4|28|18 days ago|Graduation Not Required|3 - 8 years|"Job description
C++ Developer / Senior C# Software Engineer (Image Processing R&D C++ C#). Senior C++ Developer with a broad range of technical knowledge including C++ and C#.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Graduation Not Required
Key Skills
C#OpencvImage Processing
C++
Skills highlighted with ‘‘ are preferred keyskills"|['C#', 'Opencv', 'Image Processing', 'C++']|Algorithm Developer|₹ 4,50,000 - 9,50,000 P.A.|||
5|166|18 days ago|Any Graduate|4 - 7 years|"Job description
Hands-on exp of SAP Migration methodologies and SAP product installations using the latest SAP tools
At least 3 to 4 full project lifecycles Exp in managing complex landscape across multiple SAP applications
In- depth knowledge of SAP HANA

Required Candidate profile
Experience on Database Like Hana, DB2, Max DB
Exp on Solution Manager Implementations including ITSM, ChaRm, EWA
Exp in SAP products like S/4HANA, BW on HANA, B/4HANA
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
SAP BasisSap HanaHanaSAP Basis counsltant"|['SAP Basis', 'Sap Hana', 'Hana']|SAP Basis Consultant For Client Location Gurgaon|Not Disclosed|2||
6|78|30+ days ago|Any Graduate|2 - 5 years|"Job description
* Excellent knowledge of CakePHP framework and experience building factories/facades/libraries using abstract classes, interfaces, traits.
* Experience in unit testing using testing frameworks like PHPUnit/phpspec.

Required Candidate profile
* Good knowledge of RDBMS (MySQL/MS SQL/PostgreSQL), database designing and query optimisation techniques.
* Good core knowledge of HTML5, CSS3, jQuery and Bootstrap framework.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
PHPCakePHPLaravelCodeigniter"|['PHP', 'CakePHP', 'Laravel', 'Codeigniter']|CakePHP Developer|₹ 1,00,000 - 6,00,000 P.A.||Any Postgraduate|
7|150|30+ days ago|Any Graduate|1 - 3 years|"Job description
Oversee the product content presented on Website Marketplaces.
Ideal candidate should have hands-on experience of entire eCommerce operations.
Advance Skills in MSoffice - Excel ( VLOOKUP, Pivot Tables)
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Client/Server Programming
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Doctorate :Any Doctorate
Key Skills
Pivot TableInternet ResearchExcelVLOOKUPFormulasAdvanced ExcelLookupPivotInternetHLOOKUPMacros"|['Pivot Table', 'Internet Research', 'Excel', 'VLOOKUP', 'Formulas', 'Advanced Excel', 'Lookup', 'Pivot', 'Internet', 'HLOOKUP', 'Macros']|E Commerce Product Specialist|Not Disclosed||Any Postgraduate|Any Doctorate
8|112|30+ days ago|Any Graduate|4 - 6 years|"Job description
SAP PP Consultant- Chennai Location
RoleERP Consultant
Industry TypeIT Services & Consulting
Functional AreaIT Software - ERP, CRM
Employment TypeFull Time, Permanent
Role CategorySystem Design/Implementation/ERP/CRM
Education
UG :Any Graduate
Key Skills
SAP QM ModuleSAP PP Module"|['SAP QM Module', 'SAP PP Module']|SAP PP Functional Consultant|Not Disclosed|||
9|82|24 days ago|B.Tech/B.E. in Any Specialization|2 - 4 years|"Job description
Looking for Developer for a Permanent Role.
Location: Noida
Remotely- Work From Home
NP: Immediate to 15 Days
Below is the link for more details.

https://sharing.clickup.com/t/h/2zhkvb/XHKHCF4Z8XBR2KX

Feel free to visit http://subcodevs.com
HR Team
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :M.Tech in Any Specialization
Key Skills
JavascriptJava ApiNode.Js
Backend
Skills highlighted with ‘‘ are preferred keyskills"|['Javascript', 'Java Api', 'Node.Js', 'Backend']|Required Node Js Developer- Proficient in JavaScript|₹ 3,75,000 - 7,00,000 P.A.||M.Tech in Any Specialization|
10|Less than 10|2 days ago|Any Graduate|3 - 5 years|"Job description

All About You
Strong programming skills in Java, micro-service development and Junits.
Knowledge of Spring Cloud, Spring Boot, Tomcat.
Exposure to both SQL and NoSQL persistence technologies, e.g. MongoDB, Redis preferable.
Knowledge of software development test approaches & frameworks: ATDD/BDD, Unit tests, Cucumber, Spock.
Command of CI/CD principles and tools such as Maven, Jenkins, Chef.
Experience working with cloud hosting technologies such as PCF, Azure an advantage.
Full stack engineering experience with Angular an advantage.
Exposure to Splunk, Dynatrace or other monitoring solutions an advantage.
Excellent communication and collaboration skills.
Show initiative and demonstrates a willingness to take on challenging opportunities.
Highly motivated and interested in being part of a high performance team environment.
Education
Bachelor's degree in Information Technology, Computer Science or equivalent work
experience.
.

RoleDatabase Architect/Designer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
JavaMavenPcfTomcatNoSQLJUnitRedisSpring BootMongoDBSpring Cloud"|['Java', 'Maven', 'Tomcat', 'NoSQL', 'JUnit', 'Redis', 'Spring Boot', 'MongoDB']|Looking For Java Backend Developer- Immediate joiners will Be preferr|Not Disclosed|||
11|Less than 10|2 days ago|Any Graduate|5 - 10 years|"Job description
We are currently seeking a Software Development Engineer-II for Business Intelligence platforms within the Data & Services group. You will own end-to-end delivery of engineering projects for some of our analytics and BI solutions that leverage our dataset combined with proprietary analytics techniques, to help businesses around the world solve multi-million dollar business problems.
Roles and Responsibilities:
Work as a member of an agile team to design, build, test, and deploy new products and features. Produce high quality code while employing, accepted Development & Testing principles, best practices, and tooling.
¢ Independently apply problem solving skills to identify symptoms and root causes of issues. Make effective and efficient decisions even when data is ambiguous.
€¢ Provide technical guidance, support and mentoring to more junior team members. Make active contributions to architectural decisions and make technology recommendations that balance business needs and technical requirements.
€¢ Proactively understand stakeholder needs, goals, expectations and viewpoints, to deliver results. Ensure design thinking accounts for long term maintainability of code.
€¢ Thrive in a highly collaborative company environment where agility is paramount. Stay up to date with latest technologies and technical advancements through self-study, blogs, meetups, conferences, etc.
€¢ Perform system maintenance, production incident problem management, identification of root cause & issue remediation.
€ƒ
All About You:
€¢ Bachelor's degree in Information Technology, Computer Science or Engineering or equivalent work experience, with a proven track-record of successfully delivering on complex technical assignments.
€¢ A solid foundation in Computer Science fundamentals, web applications and microservices-based software architecture. Full-stack development experience, including .NET Framework/.NET Core, .NET MVC, SSIS, Angular/React/VUE, Databases (Oracle, Netezza, SQL Server), HTML/javascript/ JQuery, SharePoint, Web Services - SOAP/ RESTful, Hands-on experience with Hadoop, Python, Impala, etc,. Experience with PCF/AWS/Azure is desirable but not mandatory.
€¢ Excellent SQL skills, with experience working with large and complex data sources and capability of comprehending and writing complex queries.
€¢ Experience working in Agile teams and conversant with Agile/SAFe tenets and ceremonies. Strong analytical and problem-solving abilities, with quick adaptation to new technologies, methodologies, and systems.
€¢ Excellent English communication skills (both written and verbal) to effectively interact with multiple technical teams and other stakeholders.
€¢ High-energy, detail-oriented and proactive, with ability to function under pressure in an independent environment along with a high degree of initiative and self-motivation to drive results.


RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
C#.Net CoreMVC
VueHadoopHTMLreactSQL ServerJQuery.NET FrameworkAngularJavascriptWeb ServicesPython
Skills highlighted with ‘‘ are preferred keyskills"|['C#', 'MVC', 'Hadoop', 'HTML', 'SQL Server', 'JQuery', '.NET Framework', 'Javascript', 'Web Services', 'Python']|Senior .Net Developer|₹ 6,00,000 - 16,00,000 P.A.|||
