|Job Applicants:|Posted:|UG :|experience|job_desc|key_skills|position|salary|Openings:|PG :|Doctorate :
0|1003|30 days ago|B.Tech/B.E. in Any Specialization|4 - 9 years|"Job description
Immediate Opening For Business Analyst looking for immediate joinee or 7 days

ROLE DESCRIPTION :
Business Analyst
Data capabilities,Write SQL crap the data ,Analysis of data is must
5+Yrs
Job Location: Gurgaon/Bangalore
Notice Period: looking for Immediate or 7 days joinee

SALARY:-BEST AS PER INDUSTRY
FOR MORE DETAILS MAIL YOUR RESUME at khushaboo.j@randstad.in

Thanks & Regards,
khushboo



RoleDatabase Architect/Designer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Temporary/Contractual
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
Data AnalysisBusiness AnalysisSQL"|['Data Analysis', 'Business Analysis', 'SQL']|Business Analyst-Gurgaon/Bangalore- C2H|₹ 16,00,000 - 22,50,000 P.A.|||
1|16|30 days ago|Any Graduate|3 - 7 years|"Job description
Roles and Responsibilities

experienced native ios developer
Good hand-on experience on Bluetooth communication, RS232 and USB communication -Good to have
Analytically very good



RoleGraphic/Web Designer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
BluetoothUSBRS232"|['Bluetooth', 'USB', 'RS232']|IOS Developer|₹ 7,00,000 - 9,00,000 P.A.|||
2|152|30 days ago|Any Graduate|3 - 8 years|"Job description
Dear Candidates

We have a Immediate requirement of API Automation for one of our Client at Bangalore / Pune / Chennai / Coimbatore Location.

Summary
Location: Bangalore / Pune / Chennai / Coimbatore
Experience: 3 to 12  years experience level is required.
Position:  API Automation
Immediate joiners preferred within 15 days joiners acceptable.

JD for API Automation QA:
Should have good experience in Core Java 
Should have good hands-on experience in API Automation testing using Rest Assured client 
Should have experience in enhancing/maintaining the automation framework 
Should have experience in API testing using Postman tool 
Good experience in JIRA/Confluence, following Agile process 
Good to have experienced in Maven and testing 
Good to have experienced Banking domain project 
Prior experience in working monitoring tool like Rancher or Logging tools like Kibana
Perform product analysis and testing tasks of increasingly complex nature which may require extensive research and analysis

Regards
Naveen Kumar N
Mail id: naveen_k@trigent.com
Contact no: 9108228912 (Call between 9:30 Am to 6:30 Pm on Weekdays only)


RoleSolution Architect / Enterprise Architect
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategorySystem Design/Implementation/ERP/CRM
Education
UG :Any Graduate
Key Skills
Banking DomainAPI AutomationAutomation Framework
enhancingMavenKibanaAutomationQA AnalystmaintainingAutomation Test EngineerQARancherRest AssuredAPI TestingAutomation TestingCore java
Skills highlighted with ‘‘ are preferred keyskills"|['Banking Domain', 'Automation Framework', 'Maven', 'Automation', 'QA Analyst', 'maintaining', 'Automation Test Engineer', 'QA', 'API Testing', 'Automation Testing', 'Core java']|API Automation|Not Disclosed|||
3|22|30 days ago|Any Graduate|5 - 8 years|"Job description

IOT Full Stack:
• Designing and developing front-end solutions enabling user interactions on web pages.
• Designing and developing back-end solutions
• Creating databases and queries to provide data for rendering to front end
• Developing applications which are responsive and optimized for resources
• Coordinating with UI/UX designers for better UI
• Participating in the complete development life cycle
• Ownership of the solution from concept to Go-live
• Designing and developing APIs.



RoleTeam Lead/Technical Lead
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
Front End
Skills highlighted with ‘‘ are preferred keyskills"|['Front End']|IOT Full stack|Not Disclosed|||
4|1299|30 days ago|Any Graduate|2 - 7 years|"Job description
Job Description
Job Type : Permanent
Experience: 2 to 6 Years
Notice period : Immediate joiner to 20days( notice can apply)

Roles & Responsibilities:
Design, develop, and maintain automated testing process, framework and scripts.
Liaise with development, business and functional testing teams to identify critical business scenarios for automation to achieve maximum ROI.
Evaluate and estimate turnaround time for automation activities.

Requirements:  
2 to 6 years of experience in designing and implementing Automation Testing Strategies and Framework for large scale systems.
Proficiency in core Java(Programming & logical)  or Ruby  (Added advantage), TDD/BDD and test automation frameworks.
Must have worked extensively on Selenium Webdriver, Appium.
Hands-on experience in REST/SOAP services automation.
Expertise in build & CI tools like Jenkins, Ant, Maven and Gradle.
Working knowledge in version control tools, such as Git, Github, Stash etc.
Good understanding of database concepts; Able to write SQL queries.




RoleQuality Assurance/Quality Control Manager
Industry TypeIT Services & Consulting
Functional AreaIT Software - QA & Testing
Employment TypeFull Time, Permanent
Role CategoryQA/Testing/Documentation
Education
UG :Any Graduate
Key Skills
javaBDDTDDautomation testingSelenium"|['java', 'TDD', 'automation testing', 'Selenium']|Automation Tester (Selenium with Java) Immediate joiners|Not Disclosed|30||
5|807|30 days ago|Any Graduate|4 - 7 years|"Job description
The responsibilities of the role include:

Oracle Fusion Financials Functional - General Ledger, Payables, Receivables & Advanced Collections, Fixed Assets, Payables, Cash & Expense Management, Sub-Ledger Accounting and Fusion Tax
Oracle E-Business Suite Functional - GL, AP, Iexpense, SLA, AR, FA, CM, EB Tax, PO, iProcurement
Previous hands-on implementation experience of Oracle business Suite R12 or Oracle Fusion.
Ability to understand the business requirement and functional specification documents
Ability to produce artifacts such as fit gap documents, configuration documents, test scripts, training documents
Ability to do Fusion Application Configuration, Smoke Testing or Regression Testing.

Requirement
Oracle Fusion Financials Functional - General Ledger, Payables, Receivables, Asset Management, Payments & Collections, Cash and Expense Management
Oracle E-Business Suite Functional - GL, AP, AR, CM, PO, iProcurement

RoleERP Consultant
Industry TypeIT Services & Consulting
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategorySystem Design/Implementation/ERP/CRM
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Smoke TestingFixed AssetsRegression TestingAccountingGLFinanceGeneral LedgerFATest ScriptsAp"|['Smoke Testing', 'Fixed Assets', 'Regression Testing', 'Accounting', 'GL', 'Finance', 'General Ledger', 'FA', 'Test Scripts', 'Ap']|Oracle Fusion Financials Functional - Consultant|₹ 4,00,000 - 9,00,000 P.A.||Any Postgraduate|
6|12|30+ days ago|B.Tech/B.E. in Computers|4 - 6 years|"Job description
This role is a direct hire. Sustain and Maintain web - based program using Cold Fusion / SQL. Existing web - based program will ensure support. Provide development , programming , analysis and documentation support. Candidates should have a good understanding of Object Oriented Design / Development and of end - to - end web application architecture , from the layout / user interface to relational database structures. Four (4) years of progressive experience of development is desired. Best candidates should possess proven success in contributing to a team - oriented environment and proven ability to work creatively and analytically in a problem - solving environment.

RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
Object oriented designWeb applicationArchitectural designDesign developmentProgrammingDatabaseapplication architectureSQLColdfusion"|['Object oriented design', 'Web application', 'Architectural design', 'Design development', 'Programming', 'Database', 'application architecture', 'SQL', 'Coldfusion']|Software Developer|Not Disclosed|1|M.Tech in Computers|
7|82|1 day ago|B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Computers|4 - 8 years|"Job description
Roles and Responsibilities :

- Microsoft development experience using C#, ASP.NET, .Net Core, Web API, MVC, JavaScript, SQL Server, PostgreSQL and proficient in developing large scale web applications using a .Net framework.

- Experience with Azure services like Azure App Services, Azure Active Directory, Azure SQL, Azure PostgreSQL, Key Vault, Azure DevOps, Application Insights, Azure Storage, Redis Cache

- Securing web applications with Azure AD

- Problem solving, design, coding, and debugging skills
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Computers
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
C#Azure.Net CorePostgreSQLCloud.NetSQL ServerActive DirectoryASPSQL"|['C#', 'Azure', 'PostgreSQL', 'Cloud', '.Net', 'SQL Server', 'Active Directory', 'ASP', 'SQL']|.Net Developer - Azure/C#/ASP|Not Disclosed||Any Postgraduate|Doctorate Not Required
8|81|1 day ago|B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Computers|3 - 8 years|"Job description
Job responsibilities:

- 3+ years of total experience

- Strong experience in SAP Data Services, Information steward, IDOCS, BAPI, LSMW and SAP Migration cockpit

- Working experience with business users, Functional Team expectations on requirement gathering and solution building

- Knowledge of Data Quality, Profiling and Cleansing, Data harmonization

- Awareness on the SAP and Non-SAP Best Practices for Data Migrations

- Experience in SAP BODS Integration of SAP systems to S4HANA system

- Strong working knowledge on SAP BODS Transformations.

- Knowledge of SAP Information Steward Components like Data Insight and Cleansing, Package Builder to create data quality rules and dictionaries to standardize the data

- Should be able to work independently and analyze problems and provide solutions

- Strong analytical skills
RoleOutside Consultant
Industry TypeIT Services & Consulting
Functional AreaIT Software - ERP, CRM
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Computers
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
SAP Data ServicesSAP Information StewardS/4 HANASAP BODSSAP IntegrationBAPISAP ILM"|['SAP Data Services', 'BAPI']|SAP BODS Consultant - ILM/Information Steward Modules|Not Disclosed||Any Postgraduate|Doctorate Not Required
9|Less than 10|30+ days ago|B.Tech/B.E. in Computers|6 - 10 years|"Job description

This position will :
work closely with the development, operations, and engineering teams to support and assure the quality of the product,
help the development and engineering teams validate all changes and feature enhancements,
identify and address product test coverage gaps to assure the best customer experience possible,
integrate the test code into an automated CI/CD pipeline to increase the stability and quality of the builds,
work closely with development and engineering teams to deploy the code across the globe,
be part of a strong technical group that is always driven to challenge and improve the existing products value.
Requirements:
Experience developing object-oriented automation and/or applications in python.
Experience assessing product requirements use cases to determine test and validation areas.
Experience reading, debugging, fixing code and performing code reviews.
Strong knowledge and experience working on Linux systems.
Experience with REST APIs, distributed systems, and remote access clients (e.g. - SSH, WinRM, etc.).
Experience with software configuration management (SCM) systems such as git or svn.
Experience working with multiple distributed teams to deliver new features and fixes.
Experience working on UI/API automation frameworks like Robot, Selenium, PyTest etc.
Experience working Behave, BDD, SQL/MongoDB
Strong team player that accepts and enjoys responsibility, enjoys learning and solving challenging technical issues; a creative problem solver.
Strong oral and written communication skills.
Experience working in an Agile environment.
Nice to Have:
Experience with virtualization and/or comparable cloud technologies: virtual servers and/or file systems.
Experience working in a virtualized/cloud environment such as OpenStack, Amazon Web Services, Azure, or Google Cloud.
Experience with CI/CD systems and infrastructure (Jenkins)
Experience with OpenStack or other open-source software projects.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
AutomationLinuxDebuggingAgileSeleniumSCMOpen sourceVirtualizationSQLPython"|['Automation', 'Linux', 'Debugging', 'Agile', 'Selenium', 'SCM', 'Open source', 'Virtualization', 'SQL', 'Python']|Software Developer|Not Disclosed|1|Post Graduation Not Required|
