|Job Applicants:|Openings:|PG :|Posted:|UG :|experience|job_desc|key_skills|position|salary|Doctorate :
0|Less than 10|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|4 - 9 years|"Job description
Urban Ladder is seeking Tech Leads for its rapidly growing Technology team in order to build the next generation of services and applications that will drive our growing business. As a Tech Lead, you will work with development teams and can switch teams and projects as our fast- paced business grows and evolves. You will design and implement major features for existing and new products. You will build new services to support our migration to a fully service oriented architecture. You will build and deliver systems directly impacting and improving the scale, robustness, performance and usability of the Urban Ladder online store, and applications that drive the fulfilment, logistics, payments, transportation etc. You will lead teams by example and set the bar for quality of code, software engineering practices, communication skills, dealing with complexity and ambiguity, and coaching and mentoring of team members. You are also a proficient full stack web developer with experience of building Ruby on Rails websites, with a MySql backend, ES, Beanstalkd, Bootstrap, Javascript, JQuery, HTML, CSS on the frontend, running on AWS.

Primary Skills and Functional Experience

Strong analytical, problem solving, and troubleshooting skills.
Strong foundation in computer science fundamentals: data structures, algorithms, and coding.
Strong ability and eagerness to quickly learn new technologies.
Strong object- oriented programming skills.
Good understanding of common design patterns and principles.
Passion for product quality and attention to detail.Desired Skills and Functional Experience

Strong Ruby fundamentals and programming skills.
Advanced level experience with Ruby on Rails, RSpec, and Cucumber.
Experience with web development involving front- end and middle- tier codebases.
Experience providing and consuming RESTful web services, SOAP, XML- RPC, and JSON.
Development experience with JavaScript, HTML5, CSS3, AJAX.
Understanding of major browsers and the special considerations required for each.
Strong experience in relational database and SQL.
Familiarity with NoSQL databases, Distributed Caches & Data- Grids.
Experience on UNIX, Linux platform.
Experience with Git.
Acumen for mentoring and growing team members.
RoleTeam Lead/Technical Lead
Industry TypeInternet
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
c++CtechnicaldesignMySQLtestingHTMLTechnical configurationlead"|['c++', 'C', 'technical', 'design', 'MySQL', 'testing', 'HTML', 'lead']|Tech. Lead|Not Disclosed|
1|69|1|Any Postgraduate|30+ days ago|Any Graduate|2 - 7 years|"Job description
You can talk on the phone all day, send emails out in lightning speed and chat up with our clients and help them out with their numerous queries. Just make sure our clients are happy at the end of every interaction! Your role will involve you being a multi- tasker (scratch that!) , a super multi- tasker, handling multiple responsibilities and customers at the same time.

Let's be honest. Client servicing isn't easy and we aren't looking for people who want it easy. Being driven to focus on every single detail and being empathetic to people should come naturally to you. If you are committed to learning a lot, taking ownership of every client/ order end to end and have an impeccable sense of work ethic, we should meet.

Requirements

And you should (be)

possess great written communication (No SMS language, please)
willing to answer calls, email and chat and be open to learning to use other new channels or processes
willing to be an excellent customer advocate internally and stand up for what's right by the customer
willing to work fast and be flexible with work timings/ schedule and availability.
have knowledge of and be an active social media user
Ecommerce and hospitality experience is a huge bonus
Freshers are more than welcome.
RoleAssociate/Senior Associate -(NonTechnical)
Industry TypeInternet
Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations
Employment TypeFull Time, Permanent
Role CategoryVoice
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Help DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTechnologycategory Asset ManagementVendor ManagementInformation"|['Help Desk', 'Customer Service', 'data analysis', 'customer relationship', 'access controls', 'Technology', 'Asset Management', 'Vendor Management']|Relationship Associate|Not Disclosed|
2|43|1|Any Postgraduate|30+ days ago|Any Graduate|2 - 7 years|"Job description
Love to solve problems Love answering questions patiently Love talking all day : ) If your answer to all the above questions is a resounding yes, we want to listen to you. Hopefully forever! We are looking for fun, committed people for our Client Servicing Team based in Bangalore.

Role

You can talk on the phone all day, send emails out in lightning speed and chat up with our clients and help them out with their numerous queries. Just make sure our clients are happy at the end of every interaction! Your role will involve you being a multi- tasker (scratch that!) , a super multi- tasker, handling multiple responsibilities and customers at the same time.

Let's be honest. Client servicing isn't easy and we aren't looking for people who want it easy. Being driven to focus on every single detail and being empathetic to people should come naturally to you. If you are committed to learning a lot, taking ownership of every client/ order end to end and have an impeccable sense of work ethic, we should meet.

Requirements

And you should (be)

possess great written communication (No SMS language, please)
willing to answer calls, email and chat and be open to learning to use other new channels or processes
willing to be an excellent customer advocate internally and stand up for what's right by the customer
willing to work fast and be flexible with work timings/ schedule and availability.
have knowledge of and be an active social media user
Ecommerce and hospitality experience is a huge bonus
Freshers are more than welcome.
Willing to work on Saturdays (from home, albeit!) and from 10 AM to 8 PM (don't worry, we won't ask you to do this without a break or from office, even post 6 PM)
RoleAssociate/Senior Associate -(NonTechnical)
Industry TypeInternet
Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations
Employment TypeFull Time, Permanent
Role CategoryVoice
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Help DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTechnologycategory Asset ManagementVendor ManagementInformation"|['Help Desk', 'Customer Service', 'data analysis', 'customer relationship', 'access controls', 'Technology', 'Asset Management', 'Vendor Management']|Relationship Associate|Not Disclosed|
3|178|1|Post Graduation Not Required|30+ days ago|B.Tech/B.E. in Any Specialization|8 - 13 years|"Job description
Experience : 8+ years
Mandatory Skill Required:
Knowledge in firewall to secure the network infrastructure.
Knowledge in AWS cloud infrastructure, PaaS and AWS security
Knowledge about cyber security risks
Knowledge about regulations and process in the security and privacy area
Knowledge in software development process
Knowledge in privacy assessment
Should have technical skills in IT infrastructure support and management Windows/Linux/Cloud
Good to have skills:
Knowledge about Office 365
Knowledge in ISO 27001 & 9001, Audit
Application Security
Job Responsibilities:
Setup/Maintain internal IT infrastructure and network
Should conduct threat and risk analysis and implement the mitigation controls within the infrastructure.
Should be able to create own tools and actively take part in the security architecture review of technologies.
Should be able to develop unique strategies for software systems, networks, data center, and hardware.
The professionals must have an in-depth understanding of vulnerability management and common security applications
Conduct risk assessments and business impact analysis on new systems and technologies requirements.
Should be able recognize the cyber attackers and report to the upper management and should be able to close off underlying security vulnerability.
Should be to design secure principles and optimize new technology services.
Should be able to help in optimization of current test and engineering processes and policies.
Should be to offer technical support in areas of the cross-discipline team.
Should conduct ISMS/QMS internal audits and coordinate with external audit
Maintain the company ISMS-QMS certification
RoleSystem Security
Industry TypeIT Services & Consulting
Functional AreaIT Software - Network Administration, Security
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing
Education
UG :B.Tech/B.E. in Any Specialization
PG :Post Graduation Not Required
Key Skills
ISMSLinuxInformation securityPAASISO 27001Application securityVulnerabilityWindowsTechnical supportFirewall"|['ISMS', 'Linux', 'Information security', 'PAAS', 'ISO 27001', 'Application security', 'Vulnerability', 'Windows', 'Technical support', 'Firewall']|Information Security Officer|Not Disclosed|
4|106|1|MCA in Computers, M.Tech in Any Specialization|30+ days ago|B.Tech/B.E. in Any Specialization|3 - 5 years|"Job description
Experience: 3 - 5 years
Responsibilities:
As a salesforce developer, you ll work as part of a team of problem solvers with extensive consulting and industry experience, helping our clients solve their complex business issues from strategy to execution.
Specific responsibilities include but are not limited to:
Proactively assist the team in various aspects of the project
Prepare deliverables
Contribute to the development of your own and team s technical acumen
Job Description:
2+ years application development and implementation experience in building Salesforce Applications including APEX and Lightning framework.
Strong experience in SFDC development using Apex classes, Triggers, Visual Force, Batch Classes, Schedulers, SOQL and SOSL.
Strong in Salesforce Out of box Configurations like Data Model, Security Model and Process Automations.
Must have experience in building Lightning Components.
Experience or knowledge in building Lightning Web Components(LWC) is plus.
Experience or knowledge in CPQ is plus.
Solid understanding of Salesforce governor limits.
Excellent communication (written and oral) and interpersonal skills.
Proficient knowledge in Object Oriented Programming Technology.
Good Knowledge of packaging and deploying the application using Force.com and Visual Studio IDE and ANT.
Primary skill: Strong experience in Salesforce Lightning development.
Education: B.Tech / B.E / MCA / M.tech IT
Salesforce Certification highly desirable
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :MCA in Computers, M.Tech in Any Specialization
Key Skills
Interpersonal skillsHP data protectorData modelingConsultingPackagingManager TechnologyApplication developmentVisual StudioObject oriented programmingSalesforce"|['Interpersonal skills', 'HP data protector', 'Data modeling', 'Consulting', 'Packaging', 'Application development', 'Visual Studio', 'Object oriented programming', 'Salesforce']|Salesforce Developer|Not Disclosed|
5|10|1|Post Graduation Not Required|30+ days ago|Any Graduate|3 - 5 years|"Job description
Roles Responsibilities
Create deliverables based on the output from our Vulnerability Assessment team
Ensure output from teams meet technical and professional requirements
Assist senior vulnerability analysts in creating or updating standard operating procedures
Ingest requirements from product and threat research teams in order to adjust product output formats
Qualifications
Bachelor s degree or equivalent
Experience in a technical writing role, typically obtained in 3-5 years
Spoken and written fluency in the English language
Strong communication and planning skills, especially when working with distilling requirements into work deliverables
A strong desire to learn about the information security and vulnerability assessment landscape
Solid interpersonal and social skills
RoleTechnical Writer
Industry TypeHardware & Networking
Functional AreaIT Software - eCommerce, Internet Technologies
Employment TypeFull Time, Permanent
Role CategoryQA/Testing/Documentation
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
cyber securityTechnical writingInformation securitySocial mediaArtificial IntelligenceStandard operating proceduresManager TechnologyWeavingResearchVulnerability assessment"|['cyber security', 'Technical writing', 'Information security', 'Social media', 'Artificial Intelligence', 'Standard operating procedures', 'Weaving', 'Research', 'Vulnerability assessment']|Technical Writer|Not Disclosed|
6|29|1|Post Graduation Not Required|30+ days ago|Any Graduate|5 - 10 years|"Job description
Position Summary:
Are you looking for a fast-paced, engaging new challenge Do you have good communication skills with a pleasant personality and a passion for web technologies Perfect we need you! We currently have an opportunity for Lead Mobile developer with at least 5+ years of experience. This is a great position for a self-motivated driven individual, seeking a high responsibility role with room for growth.
Desired skills and experience:
The candidate should be proficient in application development on the iOS platform.
The working knowledge of Android development is preferable.
Execute in an agile environment using industry-standard tools.
Solve complex performance problems and architectural challenges.
4-5 yrs of relevant experience is preferred.
Good to have working knowledge in Agile Methodology.
Responsibilities:
Lead and manage the mobile teams (iOS and Android).
Develop and maintain current mobile applications already published on App Store.
Design and build advanced applications for the iOS platform.
Collaborate with cross-functional teams to define, design, and ship new features.
Peer-Review Code Review and Unit-test code for robustness, including edge cases, usability, and general reliability.
Well versed with iOS and Android clean code and security standards.
Well versed with application performance tools and techniques.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Develop documentation throughout the software development life cycle (SDLC).
Serve as an expert on applications and provide technical support.
Work independently and should be able to take greater responsibility for special projects.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Digital designSoftware development life cycleManager TechnologyApplication developmentAgile methodologyIOSTechnical supportSDLCAnalyticsAndroid"|['Digital design', 'Software development life cycle', 'Application development', 'Agile methodology', 'IOS', 'Technical support', 'SDLC', 'Analytics', 'Android']|Lead Mobile Developer|Not Disclosed|
7|Less than 10|1|Post Graduation Not Required|30+ days ago|Any Graduate|2 - 5 years|"Job description
Admin & Reception - 2 nos
RoleReceptionist
Industry TypeReal Estate
Functional AreaExecutive Assistant, Front Office, Data Entry
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Administration"|['Administration']|Admin & Reception|Not Disclosed|
8|137|1|Post Graduation Not Required|30+ days ago|B.Tech/B.E. in Computers|3 - 4 years|"Job description
Job Description / Responsibilities :






Front end UI Developer:



Will be involved in UI designing, UI Development, Coding Debugging, preparing test cases Client Interaction & Requirement gathering.






Desired profile of the candidate :






Basic/ Technical must have:



- Object Oriented JavaScript, HTML 5, CSS 3, JQuery.



- Minimum 1 year Experience in Angular JS and Bootstrap



- Minimum 1 year of Experience in responsive web design.



Additional:



- Knowledge of Node JS, Express, Grunt, Bower, Yeoman



Good to have:



- Contribute towards the open source project. If yes then share your github URL/ ID.



RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
front endcsstechnicalui developmenttest casesbootstrapweb designjavascriptjquerycodingrequirement gatheringuiwebhtml"|['front end', 'css', 'technical', 'ui development', 'test cases', 'bootstrap', 'web design', 'javascript', 'jquery', 'coding', 'requirement gathering', 'ui', 'web', 'html']|Front End Developer|Not Disclosed|
9|63|1|Post Graduation Not Required|30+ days ago|Any Graduate|5 - 10 years|"Job description
Job Description
? Implementation and maintenance of RAC.
? Proficient in NT and all flavors of UNIX.
? Proficient in Oracle RDBMS including SQL, PL/SQL and all areas of database Administration.
? Performed backups, recoveries, installations, database performance tuning, tuning applications, database monitoring and operating system configurations.
? Proven experience in upgrading and migrating mission critical databases both manually and with DBUA
? Experience in data hot and cold backup and recovery procedures.
? Extensive experience with VLDB Very Large Databases with clear understanding in large table partitioning.
? Managing Database Structure, Storage Allocation, Table/Index/BLOB segments, and Rollback segments, Constraints, Database Access, Roles and Privileges.
? Comfortable with both command-line and GUI interface.
? Load balancing in RAC nodes using TAF
? Possess strong UNIX skills light administration skills.
? Configured and Implemented Physical Standby
? Tablespace point in time recovery TSPITR.
? Transportable Table Space TTS migration AIX to Linux
? Implementing ASM file system and its maintenance
? Adding node to RAC environment.
? Deleting node s from RAC environment
? Troubleshoot network issues to connect to database.
?Troubleshoot performance issues
? Provided 24/7 Escalation support
? Provided database technical consultation
? Possess excellent written and oral communication skills.
RoleAssistant Manager/Manager-(NonTechnical)
Industry TypeIT Services & Consulting
Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations
Employment TypeFull Time, Permanent
Role CategoryBack Office/Web/Transaction Processing
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
UnixSANAixPerformance tuningFrenchLinuxDatabase administrationOracle DBALoad balancingMonitoring"|['Unix', 'SAN', 'Aix', 'Performance tuning', 'French', 'Linux', 'Database administration', 'Oracle DBA', 'Load balancing', 'Monitoring']|Oracle DBA TL / SME|Not Disclosed|
