|position|salary|experience|job_desc|Posted:|Openings:|Job Applicants:|key_skills|UG :|PG :|Doctorate :
49|Sr. Full-Stack Developer|Not Disclosed|0 - 3 years|"Job description
Participates in the technical design, development and implementation of application systems.
S/he designs and codes programs, creates test transactions and writes documentation that describes installation and operating procedures.
S/he also utilizes standard procedures and techniques to write new programs of moderate complexity (programs involving match/merge processing, utilization of one-dimensional internal program tables).
Understands and follows the Software Development Life Cycle.
Programming well-designed, testable, efficient code.
Analyze, design and develop tests and test-automation suites.
Develop flowcharts, layouts and documentation to satisfy requirements and solutions.
Maintain software functionality and currency (technical debt and gain).
Actively participate in code reviews.
Integrate software components into a fully functional software system.
Apply security and privacy principles.
Execute full lifecycle software development.
Develop software verification plans and quality assurance procedures.
Troubleshoot, debug and upgrade existing systems.
Ensure software is updated with latest features.
Participate in deployment process following all change controls.
Provide ongoing maintenance, support and enhancements in existing systems and platforms.
Provide recommendations for continuous improvement.
Active learning engagement.
Complete all required mandatory training / policy awareness curricula on time.
Use learning tools such as Pluralsight to complete both recommended and aspirational targets set in personal development plans.
Demonstrate team work.
Leverage existing products/functionality and promote reuse.
Work alongside other engineers on the team to elevate technology and consistently apply best practices.
Collaborate closely with all the other members of the team to take shared responsibility for the overall efforts that the team has committed to.
Collaborate cross-functionally with data engineers, business users, project managers and other engineers to achieve elegant solutions.
Utilize local meetups to gain and share knowledge.
Compiles documentation written by more senior developers of all procedures used in system.
Acts as mentor to junior level engineers.
Experience in using a specific application development toolkit and knowkedge of front end and backend development coding languages such as C#, Java, HTML, NodeJS, CSS, JSON, Angular, JavaScript.
Must also have knowledge in application frameworks and containerization.
Team work skills
Contributes to the achievement of area objectives
MODIFIED BASED UPON LOCAL REGULATIONS/REQUIREMENTS
Bachelors degree in computer science engineering or a related discipline, or equivalent work experience required
0-3 years of experience in software development required; experience in the securities or financial services industry is a plus.
RoleBack End Developer
Industry TypeBanking
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Computer scienceBackendManager Quality AssuranceFront endCodingJavascriptHTMLApplication developmentJSONFinancial services"|30+ days ago|1|457|['Computer science', 'Backend', 'Front end', 'Coding', 'Javascript', 'HTML', 'Application development', 'JSON', 'Financial services']|Any Graduate|Any Postgraduate|
50|DOT NET - Application Custom Developer|Not Disclosed|0 - 3 years|"Job description
Responsibilities:
Develop Restful web services and modern web applications based on stakeholder s requirements and industry standards
Meet development standards and deliverables including documentation, prototypes, version control, and demos to clients
Communicate and collaborate with other engineers and managers to deliver good quality products in time
Support production issues troubleshooting
Understand the business value of the software you create, and leverage that understanding in improving applications we build
Be responsible for quality of application you build, actively help QA and DevOps to build better automated tests
Conduct complex technical evaluation and suggest proposed architecture along with detailed design.
Driving technical issues to resolution: from qualifying the issue, to reproducing it and conducting an in-depth technical investigation along with vendor for Level 3 support, as applicable (being in touch with the customer and managing their expectations all along the way).
Have ability to analyze and give solutions to business-oriented problems.
Your new field of activity includes design, implementation, maintenance, and extension of software packages in the area of non-product-related software development
You define software development guidelines, participate in shaping the agile development process and implement this within the teams
You evaluate the implementation of new technologies and introduce them to the development teams
Responsibility for day-to-day service operations within the area of requirement engineering tools, deliver components of standard IT services
Responsible for design & architecture of the Application, its installation, configuration, maintenance, version upgrades, and deploy fixes / patches in a regulated manner.
Responsible for resolving all trouble-shooting issues, such as Client / server, Application / Database, Network, Storage, installation issues, and all-around Application usability, availability, performance, and scalability topics.
Support implementation of change requests
Ensures compliance to Quality, Information Security and Data Privacy regulations
RoleBack End Developer
Industry TypeIndustrial Automation
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
IT servicesVersion controlArchitectureInformation securityAgile developmentSiemensHealthcaredata privacyTroubleshootingService operations"|30+ days ago|1|52|['IT services', 'Version control', 'Architecture', 'Information security', 'Agile development', 'Siemens', 'Healthcare', 'data privacy', 'Troubleshooting', 'Service operations']|Any Graduate|Any Postgraduate|
51|Software Engineer (Php)|Not Disclosed|0 - 4 years|"Job description
We are looking for skilled professionals with experience in building web applications in Php
The job requires to compile technical documentation and user assistance material, requiring excellent communication skills
You will work as part of a software development team and be responsible for designing, implementing and maintaining Php applications
Developers are responsible for analysing user requirements and business objectives, determining application features and functionalities, and recommending changes to existing Php-based applications among other duties
Write, maintain, optimise, and deploy high quality Codes
Responsible for handling build of its own mainly combination of php,Javascript,Mysql
Able to work with scrum and jeera
Our Full Stack developer must have knowledge in all stages of software development
Design overall architecture of the web application
Collaborate with the rest of the engineering team to design and launch new features
Maintain code integrity and organization
Expected Skill Set:
BE/BTech in CS/IT, MCA
Should be proficient in Php , Codeigniter , javascript , mysql , Html , Css , different open source chart libraries
Ability to face new challenges and quickly learn from them
Good understanding of web technologies
RoleBack End Developer
Industry TypeFilm / Music / Entertainment
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
GISData analysisLinuxMySQLPHPHTMLScrumBD ManagerCRMPython"|12 days ago|1|145|['GIS', 'Data analysis', 'Linux', 'MySQL', 'PHP', 'HTML', 'Scrum', 'CRM', 'Python']|Any Graduate|Any Postgraduate|
52|Associate Software Engineer|Not Disclosed|0 - 5 years|"Job description
The Software Engineer must be passionate about designing, developing and deploying software solutions. The Software Engineer will be able to demonstrate he/she can select the right methodologies and management practices.
The successful candidate will be contributing to the overall strategy and evolution of the technology platforms to build high-quality, innovative and fully performing software that complies with coding standards and technical design. This is a fantastic opportunity to engage in a positive and creative work environment that offers excellent benefits and flexible schedules.
Responsibilities
Responsible for developing and implementing new software solutions.
Contributing to the business plan and business case for new solution development.
Contribute to the technical solution development roadmap where applicable.
Identifying and filling gaps to ensure solutions are developed on-time, within budget and with the required quality
Clearly and regularly communicating with team members and management.
Requirements
Desired Qualification and Skills
Minimum Bachelor’s degree, Master’s in Business or Computer Science or equivalent.
Collaborate closely with a wider team of developers and be responsible for successful delivery.
Ensure ongoing implementation of technical standards, best practices, operating procedures, service levels and other technical documentation.
Flexible and willing to accept a change in priorities as necessary.
Strong attention to detail.
Technical
Demonstrated understanding of projects in the IT industry with the perspective of both business and customers.
Programming knowledge on following
.Net, Python, Java, Spring (Core, MVC, JDBC), Hibernate/JDBC/JPA/ORM, JSON
SQL Server and SQL scripts
Web Services(SOAP, REST)
XSLT / XML / AngularJS
RoleFull Stack Developer
Industry TypeBPO / Call Centre
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Sc in Computers, BCA in Computers, B.Tech/B.E. in Computers
PG :MCA in Computers, MS/M.Sc(Science) in Computers, M.Tech in Computers
Key Skills
SQL
JavaAngularJSHibernateJSONXSLTORMSpringXML.NetJDBCJPAMVCPythonCore
Skills highlighted with ‘‘ are preferred keyskills"|12 days ago||3284|['SQL', 'Java', 'AngularJS', 'Hibernate', 'JSON', 'XSLT', 'ORM', 'Spring', 'XML', '.Net', 'JDBC', 'JPA', 'MVC', 'Python', 'Core']|B.Sc in Computers, BCA in Computers, B.Tech/B.E. in Computers|MCA in Computers, MS/M.Sc(Science) in Computers, M.Tech in Computers|
53|Trainee Software Engineer|Not Disclosed|0 - 1 years|"Job description
Responsibilities –
Knowledge of design principles and fundamentals of architecture
Ability to understand functional / non-functional requirements to systems requirements
Ability to design and code complex programs
Ability to write test cases and scenarios based on the specifications
Some understanding of SDLC and agile methodologies
Awareness of latest technologies and trends
Logical thinking and problem solving skills along with an ability to collaborate
Ability to write well-maintained and readable code.
Relevant Exposure / Experience –
Good analytical and problem-solving skills
Strong passion for software development, debugging and problem-solving
Detail-oriented & able to manage multiple tasks simultaneously
Willing to learn new technologies and adapt quickly
Good communications skills, able to collaborate and work with team members and customer
Should have knowledge of Java, HTML, CSS
Some knowledge on server-side languages such as Python, NodeJ,php.
Some knowledge in frontend-side languages such as angular.
Familiarity with some database technology such as MySQL, and MongoDB, MSSQL
Knowledge of code versioning tools GIT.
RoleFull Stack Developer
Industry TypeSoftware Product
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate, B.Tech/B.E. in Production/Industrial
PG :MCA in Computers
Key Skills
GITAnalyticalMySQLDebuggingAgilePHPHTMLTest casesSDLCPython"|13 days ago|1|716|['GIT', 'Analytical', 'MySQL', 'Debugging', 'Agile', 'PHP', 'HTML', 'Test cases', 'SDLC', 'Python']|Any Graduate, B.Tech/B.E. in Production/Industrial|MCA in Computers|
54|Software Engineer|₹ 1,00,000 - 4,00,000 P.A.|0 - 3 years|"Job description
Roles and Responsibilities :
Software development, modeling, simulation, testing, and quality assurance.
Object-oriented design.
Analysis of user requirements, software, and code.
Completing systems risk and reliability analysis.
Object-oriented analysis.
Application development for the full lifecycle of software. 
Identify and assess new technologies prior to implementation. 
Developing and executing project plans.
Creating technical specifications.



RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Sc in Computers, B.Tech/B.E. in Any Specialization
Key Skills
DrupalCore JavaPHPAsp.Net CoreReact Native
Javac++CSSNode.JsHTMLManual TestingFlutter DevelopmentCss And JavascriptAngularSQLMySQLMobile TestingASP.NetAutomation TestingMVCReact.JsPython
Skills highlighted with ‘‘ are preferred keyskills"|5 days ago|30|1497|['Drupal', 'Core Java', 'PHP', 'Java', 'c++', 'CSS', 'Node.Js', 'HTML', 'Manual Testing', 'SQL', 'MySQL', 'Mobile Testing', 'ASP.Net', 'Automation Testing', 'MVC', 'React.Js', 'Python']|B.Sc in Computers, B.Tech/B.E. in Any Specialization||
55|Associate Software Engineer/QA Associate Engineer|₹ 2,00,000 - 4,00,000 P.A.|0 years|"Job description
Roles and Responsibilities
Responsible for developing and implementing new software solutions.
Contributing to the business plan and business case for new solution development.
Contribute to the technical solution development roadmap where applicable.
Identifying and filling gaps to ensure solutions are developed on-time, within budget and with the required quality
Clearly and regularly communicating with team members and management.


Desired Candidate Profile
Minimum Bachelors degree, Masters in Business or Computer Science or equivalent. Collaborate closely with a wider team of developers and be responsible for successful delivery.
Ensure ongoing implementation of technical standards, best practices, operating procedures, service levels and other technical documentation.
Flexible and willing to accept a change in priorities as necessary.
Strong attention to detail.

Technical Skills
Demonstrated understanding of projects in the IT industry with the perspective of both business and customers.
Programming knowledge on following.Net, Python, Java, Spring (Core, MVC, JDBC), Hibernate/JDBC/JPA/ORM, JSONSQL Server and SQL scriptsWeb Services(SOAP, REST) XSLT / XML / AngularJSBusiness.


RoleTest Analyst
Industry TypeBPO / Call Centre
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategoryQuality Assurance and Testing
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
Java
springRestAPIJSONPythonsql
Skills highlighted with ‘‘ are preferred keyskills"|9 days ago||3632|['Java', 'spring', 'Rest', 'API', 'JSON', 'Python', 'sql']|B.Tech/B.E. in Any Specialization||
56|SDET l - App|Not Disclosed|0 - 2 years|"Job description
Get to know the Role :
Responsible for setting up and implementation of test automation strategy from Functional and Non functional perspective for one module or multiple modules who you work with.
Responsible to find innovative ways to optimize the test strategy for maximising ROI from areas which are undertaken for automation.
Responsible for addition of new capabilities and features in automation framework which is used by the entire QA team for test automation.
You are also responsible for managing and maintaining test coverage through periodic reports to engineering and stakeholders.
This is an expert role and demands a complete hands on contribution on Single or multiple projects simultaneously.
The must haves :
0-2 years of relevant experience as a Test Engineer.
Experience of handling complex projects with stakeholders.
Experience in creating optimal test strategy (Including Functional, Non Functional, Analytics and
automation) and test plans for short term and long term projects both.
Good understanding and implementation level experience on design patterns.
Very good design skills.
Experience in creating test automation frameworks and self serve tools.
Hands on automation experience required in Selenium and Appium for UI.
Automation experience for Rest based web services using Java (TestNG, Maven, HTTPClient, REST assured, JAXB, JAX RS, Jersey, Jackson).
Strong hands on experience on functional and non functional automation both for Web, REST
Services.
Must be strong in writing complex SQL queries.
Must be able to handle the independent execution with minimal guidance.
Hands on experience on designing database schemas for self serve utilities.
Strong in verbal and written communication.
Good To Have:
Experience in any scripting language like python, perl shell, tcl/tk is a plus.
Prior hands on experience in developing tools using new age technologies like Golang, Nosql databases is a plus.
Understanding of Kafka and RabbitMQ is a plus.
Performance testing using JMeter is a plus.




RoleSoftware Developer in Test (SDET)
Industry TypeFilm / Music / Entertainment
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategoryQuality Assurance and Testing
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
automation frameworkMavenAutomationJAXBTest strategyPerformance testingPerlSeleniumAnalyticsPython"|2 days ago|1|449|['automation framework', 'Maven', 'Automation', 'JAXB', 'Test strategy', 'Performance testing', 'Perl', 'Selenium', 'Analytics', 'Python']|Any Graduate|Any Postgraduate|
57|Hiring Freshers For Software Engineer positions|₹ 3,50,000 - 6,00,000 P.A.|0 - 3 years|"Job description
Skills Required: JAVA OR Python OR .NET with Logical and analytical thinking towards the programming.

Eligibility: B.E. / B.Tech / B.Sc / BCA / M.E. / M.Tech / MCA - 2017, 2018, 2019, 2020, 2021 and 2022 passed outs only.

Minimum Salary Package: 3.6 L Per Annum.

Job Responsibilities:
Execute full software development life cycle (SDLC)
Code, test and troubleshoot programs utilizing the appropriate framework, database, and programming technology.
Write quality and clean code using prescribed specifications.
Analyze performance of programs and take action to correct deficiencies.

Required Skills:
Hiring highly motivated Fresh Grads who are willing to work on the web and mobile-based applications
Strong in programming skills, database knowledge, and clear with basic concepts
Good in communications and having excellent professional values


RoleSoftware Development - Other
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization
PG :MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization, MCA in Any Specialization, MCM in Computers and Management
Key Skills
Javapython.Net
Skills highlighted with ‘‘ are preferred keyskills"|3 days ago|60|9060|['Java', 'python', '.Net']|BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization|MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization, MCA in Any Specialization, MCM in Computers and Management|
58|Software Internship With Live Project - Freshers-BCA/MCA/Btech/BSC|Not Disclosed|0 years|"Job description
*We are in search of potential candidates for our company to work as Software Intern with our Development Team

*Candidates should work with Senior Development Team as Intern For 3 months in Python/Android/iOS/PHP/JAVA Application Development.

*Candidates showing excellent performance in their work will be getting the opportunity to be placed permanently.

*Will be getting the opportunity to work in Live Project under the assistance of Industrial Experts.

*Experience Certificate will be provided Roles and Responsibilities




RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Electronics/Telecommunication, Computers, BCA in Any Specialization, Any Graduate, B.Sc in Computers, Electronics
PG :M.Tech in Electronics/Telecommunication, Computers, CS in CS, MCA in Computers
Key Skills
Web Development
JavaBTECH FRESHERSC++Mobile DevelopmentProgrammingIOSB.TechInternshipAndroidIPhoneApplication DevelopmentTrainingEngineeringCore JavaBscCSEComputer ScienceDevelopmentPHPFRESHERSPython
Skills highlighted with ‘‘ are preferred keyskills"|5 days ago|50|216|['Web Development', 'Java', 'BTECH FRESHERS', 'C++', 'Mobile Development', 'Programming', 'IOS', 'B.Tech', 'Internship', 'Android', 'IPhone', 'Application Development', 'Training', 'Engineering', 'Core Java', 'Bsc', 'CSE', 'Computer Science', 'Development', 'PHP', 'FRESHERS', 'Python']|B.Tech/B.E. in Electronics/Telecommunication, Computers, BCA in Any Specialization, Any Graduate, B.Sc in Computers, Electronics|M.Tech in Electronics/Telecommunication, Computers, CS in CS, MCA in Computers|
59|Systems Engr|Not Disclosed|0 - 1 years|"Job description
  Should be able to independently work with build teams and deliver Openway Riva systems comprising of technologies described below.
Should posses good skills towards analytical approach and troubleshooting issue while building the new systems.
Key Technologies:
Active Directory - 2012/2016
Windows Servers 2012/16 VM Ware skills and Storage
Network - Knowledge on Cisco Grid routers and Basic network topology and troubleshooting
Security: Knowledge on CA, NPS and understanding and troubleshooting certificates and hardware based security modules.
Internet of Things: Basic knowledge on smart energy and connect devices and Shared network Infrastructure.
Good knowledge on .net and IIS and quick learner on hosted application and web services.
Knowledge on Oracle and SQL Server installation and troubleshooting connectivity and users accessibility issues
Scope of skills - Must have
Install, configure ,maintain ,troubleshoot Windows Operating system on physical servers and in virtualized environments.
Knowledge on Configure and Troubleshoot GPO, DNS, DHCP and NPS. and security and creating portable domains.
Taking ,Deleting and reverting snapshots of the VMs and template creation.
Skills on Cisco Grid router, troubleshooting and monitoring. (NMS)
Good understanding of Certificate Authority, Certificates troubleshooting , Network Policy Server and Shared Network Infrastructure.
Setting up IIS sites, preparation of application installation environments and skills to troubleshoot applications of different nature using logs.
Knowledge on Application Developments and atleast exposure to one programming knowledge like C#, VB, Pearl, Python etc.
Able to install and configure Oracle and SQL Server on Linux and Windows Server. Troubleshooting issues and users provisioning.
Able to configure monitoring systems and alerts based on specified threshold.
Scope of skills - Good to have
Knowledge on Internet of things and smart energy and meters
Skills on Storage maintenance and ESX host, VM Ware.
Knowledge on Hardware based Security appliances like Thales and Gemalto.
Knowledge on troubleshooting Linux servers (cent OS, Suse) and windows installation troubleshooting.
Webservice and WSDL troubleshooting.
Good knowledge on database performance analytics and configuration.
Automation skills thru Powershell, Pearl and Python.
Knowledge on Mesh network and IoT topology
Deliverables:
Configure windows servers from VM Ware templates
Install and configure CGRs, work with HSM Certs as necessary.
Install and configure Oracle and SQL Server database.
Install and configure FnD systems (Knowledge to be shared)
Installation Pre-Required applications based on installation guide.
Application installation like Openway Collection Engine and ISM (Itron Security Manager)
Configure the application as per standard configuration and security certificates.
QA the newly built environment before handing over to First Article testing.
Support and troubleshoot any builds and post build issues.
RoleSystem Administrator / Engineer
Industry TypePower
Functional AreaEngineering - Hardware & Networks
Employment TypeFull Time, Permanent
Role CategoryIT Network
Education
UG :Any Graduate
PG :CA in CA
Key Skills
AutomationLinuxActive directoryDNSWindowsOracleVBTroubleshootingSQLPython"|9 days ago|1|293|['Automation', 'Linux', 'Active directory', 'DNS', 'Windows', 'Oracle', 'VB', 'Troubleshooting', 'SQL', 'Python']|Any Graduate|CA in CA|
60|Urgent Hiring - Linux Administration - System Engineer !|₹ 3,00,000 - 6,00,000 P.A.|0 - 1 years|"Job description
We at Media.net, urgently looking to hire Linux Administrator who aspires to be SRE or Devops in future! 

Interested? Refer the below Job Description :
System Operations Associate

Roles and Responsibilities :
Work on projects using Linux and Windows and different application stacks
Being part of 24 x 7 SOC Monitoring Team - Liaison with SRE, DBA, Dev, NOC teams to identify and mitigate issues reported via various monitoring apps.
Liaise with application development and system operation teams to drive operational best practices and ensure reliable and scalable services and products
Contribute to operational runbooks and documentation efforts
Proactively seek out opportunities and contribute to enhancing and managing various infrastructure services such as monitoring , orchestration and continuous delivery pipelines
Automate system configuration by writing policies and modules for puppet
Participate as on-call support as required and remedy incidents/outages
Implementation of permanent resolutions to prevent outages / downtimes
Enhance and maintain our platforms for monitoring, log processing, metric collection and data visualization
Script and code using tools like (shell/python etc) for automation and efficient management of sites/products
Ensure infrastructure and platform security
Ensure proper system/application/business level monitoring is in place

Who should apply for this role?
Freshers who are skilled in most of the technologies mentioned below -
Knowledge of different operating systems (Microsoft, Unix, Linux, etc.)
Linux - Directory structure, log files, network, boot process, etc
Basic programming: HTML, CSS/PHP/Python/C,C++,C/JavaScript
Data base : SQL
Git & Github
Python IDE: Jupyter Notebook, Spyder
Web frameworks: Django, Flask
Networking - TCP IP
Architecture Understanding
Puppet and Icinga or worked with some monitoring tools
ELK Stack

Good to have:
Systems/Hardware: RAID, LOM/IPMI/IP KVMs, Dell Hardware.
Intermediate/Expert scripting in Python, Powershell
Applications: Database Systems Fundamentals, Nginx, Apache, Haproxy, Tomcat.
Excellent Communication Skills
Resourcefulness and problem solving aptitude
BE/BTech/BscIT/MscIT/MCA in Information Technology or related discipline

RoleDevOps - Other
Industry TypeSoftware Product
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategoryDevOps
Education
UG :B.Tech/B.E. in Any Specialization, Diploma in Computers
Key Skills
Linux Administration
NginxKibanaShell / BashApacheGrafanaGangliaIcingaDockerGCPGraphiteJavascriptAWSPuppetPython
Skills highlighted with ‘‘ are preferred keyskills"|4 days ago|5|2950|['Linux Administration', 'Nginx', 'Apache', 'Docker', 'GCP', 'Graphite', 'Javascript', 'AWS', 'Puppet', 'Python']|B.Tech/B.E. in Any Specialization, Diploma in Computers||
61|JAVA Software Developer : B.tech / MCA / MSc / BSc Freshers|₹ 2,25,000 - 7,00,000 P.A.|0 - 5 years|"Job description

We are looking for a highly skilled computer programmer who is comfortable with both front and back-end programming. The key role for the full stack developer are as follows:
1. Developing front-end website architecture.
2. creating servers and databases for functionality.
3. Designing and developing APIs.
4. Working alongside graphic designers for web design features.
5. Ensuring cross-platform optimization for the devices such as mobile phones.
6. Seeing through a project from conception to finished product.
furthermore, the skills required for the full stack developer will be:
1. He/She must have a degree in computer science.
2. He/She must be proficient in Reactjs, Nodejs, MySQL
3. He/She must have efficient knowledge of fundamental front-end languages such as HTML, CSS, and JavaScript.
4. Familiarity with database technology such as Oracle and MongoDB.
5. Good problem-solving skills.
6. Attention to detail.


Desired Candidate Profile
He/she must have a graduation degree/diploma.
He/She must have deployed at least one project over AWS.


Perks and Benefits
Fixed working hours.
General shift timings.
Saturday/Sundays are the fixed off.
An environment with transparent communication system.


Note: We don not charges from Candidates!!!!

RoleTechnical Support - Non Voice
Industry TypeBPO / Call Centre
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryNon Voice
Education
UG :Any Graduate, Graduation Not Required
PG :Any Postgraduate, Post Graduation Not Required
Doctorate :Any Doctorate, Doctorate Not Required
Key Skills
bpo
american expressteleperformanceJSONhclbritish telecomfresherbritish airwaysComputer ScienceexlJavascriptbackendnon voicework from homeWeb DevelopmentJavabarclaysback officeitesB.tech fresherITJQueryamazoncventchatUI DevelopmentwfhSoftware
Skills highlighted with ‘‘ are preferred keyskills"|30+ days ago|1|717|['bpo', 'american express', 'teleperformance', 'JSON', 'hcl', 'british telecom', 'fresher', 'british airways', 'Computer Science', 'exl', 'Javascript', 'backend', 'non voice', 'Web Development', 'Java', 'barclays', 'back office', 'ites', 'IT', 'JQuery', 'amazon', 'cvent', 'chat', 'UI Development', 'Software']|Any Graduate, Graduation Not Required|Any Postgraduate, Post Graduation Not Required|Any Doctorate, Doctorate Not Required
62|JAVA Software Developer : B.tech / MCA / MSc / BSc Freshers|₹ 1,75,000 - 4,75,000 P.A.|0 - 4 years|"Job description
Job description

We are looking for a highly skilled computer programmer who is comfortable with both front and back-end programming. The key role for the full stack developer are as follows:
1. Developing front-end website architecture.
2. creating servers and databases for functionality.
3. Designing and developing APIs.
4. Working alongside graphic designers for web design features.
5. Ensuring cross-platform optimization for the devices such as mobile phones.
6. Seeing through a project from conception to finished product.
furthermore.
Desired Candidate Profile
1. He/She must have a degree in computer science. (2021,2022) Passed out no backlogs
2. He/She must be proficient in Reactjs, Nodejs, MySQL
3. He/She must have efficient knowledge of fundamental front-end languages such as HTML, CSS, and JavaScript.
4. Familiarity with database technology such as Oracle and MongoDB.
5. Good problem-solving skills.



RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Any Specialization
Key Skills
javascript
CSSWordpressHTML
Skills highlighted with ‘‘ are preferred keyskills"|22 days ago||5460|['javascript', 'CSS', 'Wordpress', 'HTML']|B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Any Specialization||
63|Game Developer - Unity3D/Javascript|Not Disclosed|0 - 5 years|"Job description
We are looking for the Game developer and below are the skill set :

1. Unity 3D, 2D

2. C# and Javascript.

3. C++ or Java.

4. Play Canvas

5. Data structures, gaming studio.

Resource should have exp in Game Development with any of above skills :

- Strong knowledge of OOP principles and software architecture.

- Experience with Unity/Unreal or any other game engine.

- Strong knowledge in design and architectural patterns.

- Strong analysis and debugging skills.

Additional skills : Python & ROR
RoleGame Developer / Programmer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
RORJavascriptPython
C#JavaOOPUnity3DC++UnityData StructuresUnrealGame Development
Skills highlighted with ‘‘ are preferred keyskills"|30+ days ago||180|['ROR', 'Javascript', 'Python', 'C#', 'Java', 'OOP', 'Unity3D', 'C++', 'Data Structures', 'Game Development']|BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization|Any Postgraduate|Doctorate Not Required
64|Software Engineer - .Net developer (Fresher)- Navi Mumbai Airoli|₹ 3,50,000 - 4,00,000 P.A.|0 years|"Job description
Lionbridge Technologies is looking for a Trained.net developer with entry-level requirements.

Good Knowledge of OOPS and C#.
Should have done certification or internship in .net.



RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
Key Skills
c#.net
OOPSasp.net
Skills highlighted with ‘‘ are preferred keyskills"|6 days ago|1|437|['c#', '.net', 'OOPS', 'asp.net']|Any Graduate||
65|Software Developer|₹ 3,00,000 - 8,00,000 P.A.|0 - 5 years|"Job description
Writing and implementing efficient code
Determining operational practicality
Developing quality assurance procedures
Deploying software tools, processes and metrics
Maintaining and upgrading existing systems
Training users

Required Candidate profile
Good communication skills–both written and verbal.
A positive attitude toward your job in general.
Coming to work on time

To know more about this job email us your Resume - samaraitsystems@gmail.com

Perks and benefits
Health Insurance,Retirement Benefits,Sick Leaves,
RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Graduation Not Required
Key Skills
Software Quality AssuranceSoftware DeveloperSoftware ServicesTechnologySoftware Engineering
C#JavaOS InstallationSoftware TestingDeveloperHTMLSQL ServerPeripheralsITJQueryDeveloper 2000Software DevelopmentJavascriptSoftware InstallationASP.NetSoftware
Skills highlighted with ‘‘ are preferred keyskills"|28 days ago||6117|['Software Quality Assurance', 'Software Developer', 'Software Services', 'Technology', 'Software Engineering', 'C#', 'Java', 'OS Installation', 'Software Testing', 'Developer', 'HTML', 'SQL Server', 'Peripherals', 'IT', 'JQuery', 'Developer 2000', 'Software Development', 'Javascript', 'Software Installation', 'ASP.Net', 'Software']|Graduation Not Required||
