|Job Applicants:|Openings:|PG :|Posted:|UG :|experience|job_desc|key_skills|position|salary|Doctorate :
0|Less than 10|1|Any Postgraduate|12 days ago|Any Graduate|1 - 4 years|"Job description
What s In It For You:
The potential to work with some of the coolest clients around the world like the NFL, Vimeo, and Topps!
Flexible self-scheduling
Access to Hot Gigs postings exclusive to the Mod Network
Work from home
Competitive hourly rate - Discussed during your first interview
Paid orientation
What We Are Looking For:
Has a good working knowledge of windows based file systems, and navigating the Windows OS
Must be transparent and forthright
Must have a positive approach to resolving customer issues
Excellent problem solving and critical thinking skills
Must have a quiet working space where phone support can be provided
Must have an excellent telephone demeanour
Must be able to pick up new software quickly
Has good communication and engagement skills
Has excellent written communication skills
You have an advantage if you have a passion for fitness and love knowing how to stay in shape, and if you have experience using:
HubSpot CRM
Teamviewer
Windows OS
Workspace Requirements:
Dedicated laptop or desktop computer with Windows 10 or above
Quality headset
Quiet workspace to take calls
Willingness to install MSQ security software and 2FA app on phone
RoleAssociate/Senior Associate -(NonTechnical)
Industry TypeInternet
Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations
Employment TypeFull Time, Permanent
Role CategoryVoice
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Work From HomeWritten CommunicationProblem Solving"|['Written Communication', 'Problem Solving']|Body-Scanning Technology - Customer Support (Phones, Tickets)|Not Disclosed|
1|206|1|Any Postgraduate|12 days ago|Any Graduate|2 - 7 years|"Job description
Excellent customer service skills, including maintaining focus on the customer issue in a fast-paced environment.
Ability to empathize with and prioritize customer needs.
Demonstrates conflict resolution, negotiation, and de-escalation skills.
Demonstrates ownership to resolve challenging customer issues, escalating when necessary.
Responsible to supporting higher team for smooth running of Logix hosting infrastructure Supporting, maintaining, monitoring troubleshooting the Logix hosting platform, network, IP traffic servers.
Working with the Network Specialist to maintain the network infrastructure and IP traffic flow.
The candidate looking to apply for the Linux Technical Support Specialist role will be responsible for customer interaction for support and resolution of their hosted shared messaging or hosted dedicated messaging servers.
Maintaining the KPI performance of the shared hosting platform.
Ensuring the Customer is having trouble free service experience and support to take care of its queries and complaint.
Must have working experience in Zimbra Mail Administration or Qmail Administration.
Knowledge of core internet protocols e.g. SMTP, DNS, FTP, HTTP, HTTPS.
Skills
Should be able to effectively communicate with customers.
Must have working experience in Zimbra Mail Administration or Qmail Administration.
Knowledge of core internet protocols e.g. SMTP, DNS, FTP, HTTP, HTTPS.
RoleTechnical Support Engineer
Industry TypeBPO / Call Centre
Functional AreaIT Software - Network Administration, Security
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
ProcurementSMTPFTPLinuxDNSHTTPTroubleshootingTechnical supportAnalyticsMonitoring"|['Procurement', 'SMTP', 'FTP', 'Linux', 'DNS', 'HTTP', 'Troubleshooting', 'Technical support', 'Analytics', 'Monitoring']|Linux Technical Support Specialist|Not Disclosed|
2|50|1|Post Graduation Not Required|12 days ago|B.Tech/B.E. in Any Specialization|1 - 4 years|"Job description
Key Duties And Responsibilities
Proven work experience as a UI developer
Understanding of key design principles.
Strong knowledge in HTML, CSS3, JavaScript, jQuery and any other JavaScript libraries.
Strong in Bootstrap and other UI frameworks
Strong in responsive design
Understanding of server-side CSS
Experience with responsive and adaptive design.
Good problem-solving skills.
Good Knowledge on following technology
Angular/ ReactJS/ NodeJS
AJAX
JSON
Mobile APP UI design
API, Cloud services
Excellent verbal communication skills.
Familiarity with browser testing and debugging
In-depth understanding of the entire web development process (design, development, and deployment)
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :Post Graduation Not Required
Key Skills
jQueryAnalyticalWeb developmentDebuggingJavascriptHTMLJSONAjaxRecruitmentCSS3"|['jQuery', 'Analytical', 'Web development', 'Debugging', 'Javascript', 'HTML', 'JSON', 'Ajax', 'Recruitment', 'CSS3']|React JS - Maintenance and Support-1|Not Disclosed|
3|390|1||12 days ago|B.Tech/B.E. in Mechanical|2 - 4 years|"Job description
Roles and Responsibilities
Required Design Engineer
Qualification: BE Mechanical / Design software training will be added advantage
Exp.: 2-4 years / relevant experience in HVAC domain
Salary: As per company standards & immediate joining


Send your resume to usha.ks@cielhr.com
Note: Kindly mention position name in subject line



RoleDesign Engineer
Industry TypeElectronic Components / Semiconductors
Functional AreaDesign, Creative, User Experience
Employment TypeFull Time, Permanent
Role CategoryNot mentioned
Education
UG :B.Tech/B.E. in Mechanical
Key Skills
Design EngineeringHvac Design"|[]|Design Engineer|₹ 1,00,000 - 5,00,000 P.A.|
4|502|||12 days ago|Any Graduate|3 - 5 years|"Job description
Join a workforce that made it to Top-20 :

Storage newsletter has named MSys Technologies as one of the top 20 fastest growing storage companies in the world. We achieved a growth rate of 55% in the last year and this was made possible because of an excellent leadership team and the sheer dedication of our brilliant workforce. We believe in constantly evolving and innovating at our end and the results are being reflected in their own right. If you see yourself as an enthusiast with a creative mend of mind, we invite you to join us in this exciting professional journey.

About MSys :

As a growing custom technology solutions provider to companies operating in the upper echelons of their respective verticals, MSys is a cornerstone of the business technology world. Every day, MSys is empowering its customers to impact millions of their customer with digital transformational technologies
We have a unique way of doing things - the MSys Way. Its how we innovate, collaborate, operate and deliver value for our clients. MSys is an innovator in offering IT services and domain specific automation software. MSys together with its unparalleled focus and in-depth technical expertise delivers unprecedented value at an affordable cost in the areas of storage, servers, DR/BC, and virtualization. Apart from services, MSys also offers enabler products including evolutionary end-to-end domain specific software solutions for test automation to its customers. Driven by the vision to be at the core of the evolution in the industry, MSys strives to become a transformational agent. The transformational agent brings constructive changes to their customers and delivers value-added software and business processes.

About Digifutura/Mobinius :

We are technology leaders that bring a fresh perspective to problemsolving. Our team follows the agile methodology and ensures that your idea reaches the market and has the first movers advantage at an affordable price tag. We are passionate, knowledgeable and committed to providing our customers the best possible services and solution.
DigiFutura/Mobinius is a technology arm of MSys Technologies focusing on UX/UI design, web application development, mobile application development and custom software development across various industries.

About Clogeny :

Clogeny-An MSys Company is a leader in developing leading-edge cloud platforms, cloud products and scalable applications. If you are reading this, you already have a cloud strategy or looking to build one. Clogeny has an in-depth understanding of the end-to-end cloud computing stack including IaaS, PaaS and SaaS. Clogeny has expertise across 20+ cloud platforms with dedicated competency centers for the leading cloud platforms - Amazon Web Services, VMWare, Apache CloudStack, OpenStack, Windows Azure, Force.com and Heroku.

Website:- http://www.msystechnologies.com
Who We are :

For us, office is not just the four walls and a desktop. It is the place where trainees become professionals, professionals become experts and experts become demi-gods. It is the place where our employees turn their aspirations into reality by working on cutting-edge technologies for some of the best companies in the world.
If you ever dreamed of being in the company of smartest techies on the planet and to work on the solutions which will redefine ‘tomorrow’ then “MSys” is the right place for you.

Culture :

Our culture is focused on our Corporate Values --People, Customer Success, Excellence, Innovation, Teamwork, Openness, Social Responsibility and Sustained Profitability. Join a worldwide team of talented, collaborative, innovative people who thrive in a work environment where people can share knowledge and learn from one another. You won’t find a more exciting place to build your career and challenge yourself. Accept the challenge and Go where innovation leads Join MSys!!!

Job Description :

Successful candidates will be expected to think and act both strategically and tactically. He or she will be analytical, customer centric, resourceful, team oriented, and an effective communicator.
Position: Technical Support Engineer
Mandatory Skills :
-  Technical Support experience - Minimum of 3 - 5 years
-  Good knowledge on the Storage Concepts .
-  Experience in working with SAN,NAS, DAS units.
- Knowledge on SAN Topologies , FC Switches .
- Understanding of ISCSI and Fiber Channel Connections.
- Good Knowledge on MAC, IOS, Windows and Android Operating         systems
- Excellent Communication skills .
- Positive attitude to learn new technologies and products.
- Flexible to work in Shifts.

Preferred Skills (Not Mandatory):

- Knowledge on VMWare.
- Exposure to Server OS (Windows, Linux etc.)
- Any Certification related to Storage.
RoleTechnical Support Engineer
Industry TypeBPO / Call Centre
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing
Education
UG :Any Graduate
Key Skills
SCSISANISCSISMBRaidCustomer SupportVMWareStorageCifsVSphereTechnical SupportStorage Area NetworkSATAFC"|['SCSI', 'SAN', 'ISCSI', 'SMB', 'Raid', 'Customer Support', 'VMWare', 'Storage', 'Cifs', 'VSphere', 'Technical Support', 'Storage Area Network', 'SATA', 'FC']|Great Opportunity For Technical Support - Storage/VMWare|₹ 5,00,000 - 11,00,000 P.A.|
5|458|||12 days ago|B.Tech/B.E. in Electronics/Telecommunication, Mechanical, Electrical, Diploma in Mechanical, Electrical, Electronics/Telecommunication|2 - 5 years|"Job description
Exp – 2 years
Edu – Dip / deg in Mechanical Electrical Electronics
Handle Service calls efficiently to gain Customer Satisfaction
Specialized knowledge in Mechanical Hydraulics & Electrical circuits
Generate revenue through recommending Spare parts.
RoleService/Maintenance Engineer
Industry TypeIndustrial Equipment / Machinery
Functional AreaProduction, Manufacturing, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProduction/Manufacturing/Maintenance
Education
UG :B.Tech/B.E. in Electronics/Telecommunication, Mechanical, Electrical, Diploma in Mechanical, Electrical, Electronics/Telecommunication
Key Skills
Breakdown
Service EngineeringInstallationMaterial HandlingHydraulicsSpare PartsProblem SolvingTechnical Skillselectrical circuitsRepairRevenue GenerationCommissioning
Skills highlighted with ‘‘ are preferred keyskills"|['Breakdown', 'Service Engineering', 'Installation', 'Material Handling', 'Hydraulics', 'Spare Parts', 'Problem Solving', 'Technical Skills', 'electrical circuits', 'Repair', 'Revenue Generation', 'Commissioning']|Service Engineer/Sr. Service Engineer|Not Disclosed|
6|159||MCA in Any Specialization, MS/M.Sc(Science) in Computers|12 days ago|B.Tech/B.E. in Computers|6 - 10 years|"Job description
JOB DESCRIPTION:
We are looking for an experienced Sr. Technical Support Specialist, at Dr. D. Y. Patil Educational Complex, Akurdi, Pune, Maharashtra (www.dypakurdipune.edu.in)

ROLES & RESPONSIBILITIES:
Writing customized programs and scripts as well as configuring ERP applications.
Ensuring seamless integration of ERP with IT systems.
Performing diagnostic tests and resolving issues to optimize programming
Providing technical support and training ERP end users.
Preparing development progress updates and documenting ERP processes.
Analyzing existing infrastructure and performing IT system enhancements.
Troubleshooting, diagnosis, resolution & escalation

Skills Required:
Problem solving skills.
Ability to clearly present technical information.
Experience with the testing and maintenance of new and current software.
Ability to design and implement networks.
Capacity to improve processes.

Qualification:
BE (Computers/ IT) / MCA/ M.Sc.( IT) with excellent Communication Skills and minimum 6 - 10 years of experience in the required domain. Candidates with prior experience as Technical Support Specialist will only be preferred.

JOB LOCATION : Akurdi, Pune

SALARY : No constraint for a suitable candidate
Interested candidates should send their resumes at recruitment@dypakurdipune.edu.in on or before 7 days from the date of advertisement.


RoleTechnical Support Engineer
Industry TypeEducation / Training
Functional AreaIT Software - ERP, CRM
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing
Education
UG :B.Tech/B.E. in Computers
PG :MCA in Any Specialization, MS/M.Sc(Science) in Computers
Key Skills
Communication SkillsTechnical SupportTechnical Support Specialist"|['Communication Skills', 'Technical Support', 'Technical Support Specialist']|Senior Technical Support Specialist|Not Disclosed|
7|266|2||12 days ago|B.Tech/B.E. in Electronics/Telecommunication, Electrical, Diploma in Electrical, Electronics/Telecommunication, B.Sc in Electronics|1 - 3 years|"Job description
BE or Diploma in Electrical or Electronics 2-3 Yrs in Electrical/Automation product sales e.g. Electrical Components, Cable, Connectors, Relays, SMPS , Control gear products etc
dealing with the Machine Manufacturers, Panel Builders, OEM etc
RoleSales/Business Development Manager
Industry TypeElectronic Components / Semiconductors
Functional AreaSales, Retail, Business Development
Employment TypeFull Time, Permanent
Role CategoryRetail Sales
Education
UG :B.Tech/B.E. in Electronics/Telecommunication, Electrical, Diploma in Electrical, Electronics/Telecommunication, B.Sc in Electronics
Key Skills
Sales EngineerconnectorstimersrelaysSurge protection devicescontrol gearsAutomation componentssensorsElectronic ComponentsswitchgearTechnical SalesPLC/ScadaElectrical components"|['Sales Engineer', 'connectors', 'timers', 'relays', 'sensors', 'Electronic Components', 'switchgear', 'Technical Sales']|Resident Technical Sales Engineer ( electrical components)|₹ 3,00,000 - 4,50,000 P.A.|
8|255|||13 days ago|B.Tech/B.E. in Any Specialization, Diploma in Engineering|1 - 3 years|"Job description
Job Description: 
Able to understanding customer requirements
Manage the day to day tasks pertaining to backup solution like: Veritas & Veeam Backup
Periodic maintenance of the solutions deployed at the customer place - Upgrade / Update of the software after getting customer confirmation and documentation
Maintain Documentation of the solutions deployed and update the same regularly during changes to the environment
Provide Level 1 troubleshooting support to address the issues arising out of the solutions in place
Coordinating with customer, OEM and internal team to resolve the specified issues

Skills Required:
Excellent communications skills
Good interpersonal skills
Ability to listen and active problem solving skills
The ability to think logically
The ability to work well in a team
Attention to Detail

Technologies to be known:
Trend Micro Antivirus
Veritas and Veeam Backup

Apart from the core competencies mentioned above, it is required for the candidate to have expertise on:
1. Windows Server Operating Systems
2. Windows Client Operating Systems
3. Linux Server Operating Systems
4. Basic Networking Skills & Troubleshooting skills
5. Good Interpersonal skills
6. On field or on site customer support experience
7. hands-on experience of 1 or 2 years on backup solution






RoleTrainee
Industry TypeIT Services & Consulting
Functional AreaIT Hardware, Technical Support, Telecom Engineering
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :B.Tech/B.E. in Any Specialization, Diploma in Engineering
Key Skills
backup solutionsveritaswindows server operating systemwindows clint operating systemTechnical Supporttrend micro antivirusveeam backup"|['veritas', 'Technical Support']|Technical Support Trainee|Not Disclosed|
9|933|2||14 days ago|Graduation Not Required|2 - 6 years|"Job description
Create technical drawings, manufacturing schematics, SAP/ERP, 3D Assymbly, GDNT, Stack tolerance for assy., manufacturing process, manual preparation, machine test chart, handover documents, brought out list preparation, etc
GERMAN MNC AT CHAKAN

Required Candidate profile
THE DESIRED CANDIDATES WILL BE MECHANICAL DRAFTSMAN HAVING WORKED IN AUTOMATION COMPANIES IN PUNE JOB LOCATION IS CHAKAN ABLE TO JOIN AT A SHORT NOTICE 2 POSITIONS TO BE FILLED UP

Perks and benefits
MNC BENEFITS ,TRANSPORT ,CANTEEN ETC
RoleDesign Engineer
Industry TypeIndustrial Automation
Functional AreaEngineering Design, R&D
Employment TypeFull Time, Permanent
Role CategoryEngineering Design
Education
UG :Graduation Not Required
Key Skills
ERPGDNTASSEMBLYDOCUMENTS HANDOVERAUTOMATION INDUSTRYSAPMACHINE TEST CHARTBROUGHT OUT LIST PREPARATIONTECHNICAL DRAWINGSSTACK TOLERANCEDRAFTSMANMANUFACTURING SCHEMATICS3D ASSEMBLYMANUFACTURING PROCESSMANUAL PREPARATION"|['ERP', 'ASSEMBLY', 'SAP', 'DRAFTSMAN', 'MANUFACTURING PROCESS']|Senior Engineer /Engineer - Draftsman ( Automation MNC )|₹ 3,00,000 - 5,00,000 P.A.|
