|position|salary|experience|job_desc|Posted:|Job Applicants:|key_skills|UG :|PG :|Openings:|Doctorate :
123|Python developer|Not Disclosed|0 - 2 years|"Job description
Work experience as a Python Developer
Expertise in Django, Flask
Knowledge of object-relational mapping (ORM)
Good knowledge of relational databases, version control tools and of developing web services
Experience in common third-party APIs (Google, Facebook, Payment Gateway ,sms gateway etc)
Passion for best design and coding practices and a desire to develop new bold ideas
Familiarity with front-end technologies (like JavaScript, JQuery, Ajax, HTML5, CSS, Bootstrap 4)
MySQL, MongoDB Database
Team spirit
Good problem-solving skills
RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
CssPayment GatewayDjangoMysqlPython DeveloperJavascriptVersion ControlJqueryWeb ServicesAjax"|30+ days ago|1703|['Css', 'Payment Gateway', 'Django', 'Mysql', 'Python Developer', 'Javascript', 'Version Control', 'Jquery', 'Web Services', 'Ajax']|Any Graduate|Any Postgraduate|1|
124|Python Developer|Not Disclosed|0 - 4 years|"Job description
Job Summary
We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well.
Responsibilities and Duties
Writing reusable, testable, and efficient code
Design and implementation of low-latency, high-availability, and performant applications
Integration of user-facing elements developed by front-end developers with server side logic
Implementation of security and data protection
Integration of data storage solutions may include databases, key-value stores, blob stores, etc.
Required Skills
Expert in Python, with knowledge of at least one Python web framework such as Django, Flask, etc depending on your technology stack
Familiarity with some ORM (Object Relational Mapper) libraries
Able to integrate multiple data sources and databases into one system
Understanding of the threading limitations of Python, and multi-process architecture
Good understanding of server-side templating languages such as Jinja 2, Mako, etc depending on your technology stack
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Understanding of accessibility and security compliance depending on the specific project
Knowledge of user authentication and authorization between multiple systems, servers, and environments
Understanding of fundamental design principles behind a scalable application
Familiarity with event-driven programming in Python
Understanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platform
Able to create database schemas that represent and support business processes
Strong unit test and debugging skills
Proficient understanding of code versioning tools such as Git, Mercurial or SVN
Education Qualification
B.E/B.Tech/B.Sc
Experience
0 to 4 years
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Production/Industrial, B.Sc in Chemistry
PG :Any Postgraduate
Key Skills
Front endGITDjangoDebuggingJavascriptCustomer supportBusiness Development ExecutiveAnalyticsPythonCSS3"|30+ days ago|2181|['Front end', 'GIT', 'Django', 'Debugging', 'Javascript', 'Customer support', 'Business Development Executive', 'Analytics', 'Python', 'CSS3']|B.Tech/B.E. in Production/Industrial, B.Sc in Chemistry|Any Postgraduate|1|
125|Python developer|Not Disclosed|0 - 2 years|"Job description
Write effective, scalable code
Develop back-end components to improve responsiveness and overall performance
Integrate user-facing elements into applications
Test and debug programs
Improve functionality of existing systems
Implement security and data protection solutions
Assess and prioritize feature requests
Coordinate with internal teams to understand user requirements and provide technical solutions


python
RoleBack End Developer
Industry TypeRecruitment / Staffing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Python"|30+ days ago|3789|['Python']|Any Graduate|Any Postgraduate|1|
126|Python Developer|Not Disclosed|0 - 2 years|"Job description
  Must have proficiency with Python and basic libraries for machine learning
Proficiency with a deep learning framework such as NLTK, Spacy, Scikit-Learn, Tensorflow/ Pytorch/ Keras, Numpy, Pandas.
Must have experience Algorithms on Sentiment Analysis, RNN (Recurrent neural network), Text extraction and processing, data cleaning, data processing.
Required Skills :
Hands on experience in supervised machine techniques and algorithms, Sentiment Analysis, RNN (Recurrent neural network), Text extraction and processing, data cleaning, data processing.
Hands on experience in un-supervised machine learning techniques and algorithms, such as various clustering algorithms, dimensionality reduction techniques.
Must understand Artificial Intelligence technologies including some or all.
knowledge representation & reasoning (KRR), natural language processing (NLP), speech recognition, unsupervised machine learning, and/or reinforcement learning, Text mining and Text Processing, Decision tree and lexical analysis.
Experience in Computer Vision and Image Processing. NLTK, Stanford Core, GATE, spacey etc.-
Knowledge on Forecasting, Linear Optimization and various other applied statistical methods like hypothesis testing, Analysis of variance, confidence intervals etc.
Experience in data training means it will be an advantage.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Speech RecognitionNlpImage ProcessingArtificial IntelligencePython DeveloperNatural Language ProcessingText MiningComputer VisionMachine LearningDeep Learning"|30+ days ago|1299|['Speech Recognition', 'Nlp', 'Image Processing', 'Artificial Intelligence', 'Python Developer', 'Natural Language Processing', 'Text Mining', 'Computer Vision', 'Machine Learning', 'Deep Learning']|Any Graduate|Any Postgraduate|1|
127|Python Developer|Not Disclosed|0 - 4 years|"Job description
1. Basic knowledge in Core python
Iterators
Generators
Exception Handling
File handling concepts
Data types and variables
OOPs Concepts
Data Structures
2. Front-End Technologies Knowledge
MVT structure
Object Relational Mappers
Django middleware knowledge
Basic knowledge of Django generic view
Database Schemas Creation Ability
Skills of developing web-services with the use of Django
Design Skills
Communication Skills
Knowledge of User Authorization and Authentication
Good Debugging
Experience with MySQL, Postgres, SQLite for database connections
You should know how to optimize the performance of information systems
Logical Thinking Ability
You should be familiar with Graphical Interface Creation
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Communication SkillsDjangoOopsData StructuresPython DeveloperMysqlSpark"|30+ days ago|843|['Communication Skills', 'Django', 'Oops', 'Data Structures', 'Python Developer', 'Mysql', 'Spark']|Any Graduate|Any Postgraduate|1|
128|Python Developer (DM - 3424)|Not Disclosed|0 - 1 years|"Job description
Skills -:
1) Should have good command over the python language.
2) Candidate must have knowledge of one of Python frameworks such as Django/Flask
3) Candidates should have Good Communication and Presentation Skills.
4) Candidate should have very Good Logical and Analytical Skills
5) Candidate should have basic database knowledge
6) Candidate should have knowledge of UML diagrams
7) Candidate must have good knowledge of Data Structure
8) Candidate can work in team as well as individual
Roles and Responsibilities -:
1) Candidate must have good knowledge of Data Structure
2) Good problem-solving skills
3) Develop back-end components to improve responsiveness and overall performance
4) Contribute to the ongoing proof of concepts and feature development of the products, working with the broadly defined scope and estimates
5) Should have understanding of code versioning tool such as Git, SVN
6) Knowledge of Cloud services is an added advantage
You can also apply via- https://careers.oodles.io/jobs/665//?ref=1403
RoleSoftware Development - Other
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
pythonDjangoflask
presentation skills
Skills highlighted with ‘‘ are preferred keyskills"|18 days ago|817|['python', 'Django', 'presentation skills']|Any Graduate|Any Postgraduate|2|
129|Python/Django developer|Not Disclosed|0 - 2 years|"Job description
Key skills Required:
You should have hands-on experience of coding in Python/Django framework .
You should be able to deal JavaScript coding involving AJAX/JSON/XML web services.
You should be open to learn new technologies. And, you must be a good communicator who can explain and understand clearly.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
HTML;JavascriptWeb servicesCodingXMLDjangoJavascriptJSONBusiness applicationsAjaxPython"|30+ days ago|2364|['Web services', 'Coding', 'XML', 'Django', 'Javascript', 'JSON', 'Business applications', 'Ajax', 'Python']|Any Graduate|Post Graduation Not Required|1|
130|Python developer|Not Disclosed|0 - 2 years|"Job description
Responsibilities and Duties
Good Understanding of Object oriented analysis and design (Desired)
Good knowledge of Linux environment and utilities like sed, awk, etc (Strongly Desired)
Strong Python scripting experience
Strong UNIXLinux background
Required Experience, Skills and Qualifications
Python Developer Dev - ops
Qualifications required-
(B.C.A.) (B.Sc.)(B.E.) (M.C.A.) (M.Sc.) (M.Tech) (M.E.) . OR Any Graduation Courses and Diploma course
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Diploma in Mechanical, Any Graduate, B.Tech/B.E. in Production/Industrial, BCA in Computers
PG :MCA in Computers, MS/M.Sc(Science) in Chemistry, M.Tech in Electronics/Telecommunication
Key Skills
UnixIT servicesStationGITCLinuxOracleInternshipPythonScripting"|30+ days ago|3796|['Unix', 'IT services', 'Station', 'GIT', 'C', 'Linux', 'Oracle', 'Internship', 'Python', 'Scripting']|Diploma in Mechanical, Any Graduate, B.Tech/B.E. in Production/Industrial, BCA in Computers|MCA in Computers, MS/M.Sc(Science) in Chemistry, M.Tech in Electronics/Telecommunication|1|
131|Python Developer Intern|Not Disclosed|0 - 1 years|"Job description
Responsibilities:

Problem-solving with the use of Python
Developing high-performing REST APIs for application functionality.
Develop and maintain scalable server architecture serving millions of users every day.
Should be able to create clear, well-documented, and maintainable code.
Good knowledge of Python and OOPS.
Basic knowledge of HTML, CSS, and JavaScript.
Have a good experience with RESTful APIs & JWTs, OAUTH2.
An ability to refractor and understand large and separate codebases.

Requirements:

If you're a fresher, this is a good start for you.
A good experience with Design patterns.
Experience with SQL DBs PostgreSQL is an added advantage.
Strong knowledge of data structures, OOPS, and computer fundamentals.
Willing to work in a fast phased startup environment.
Have basic knowledge of Unix-like systems.

RoleBack End Developer
Industry TypeInternet
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Graduation Not Required
Key Skills
OOPSSQL
Python
Skills highlighted with ‘‘ are preferred keyskills"|20 days ago|1443|['OOPS', 'SQL', 'Python']|Graduation Not Required|||
132|Python Developer|Not Disclosed|0 - 4 years|"Job description
Expertise in at least one popular Python framework (like Django, Flask or Pyramid)
Experience in creating Bots would be an added advantage.
Knowledge of object-relational mapping (ORM)
Should have good knowledge of Webscrapping.
Familiarity with front-end technologies (like JavaScript/HTML5/CSS3)
Knowledge of SASS and LESS is added advantage
Knowledge of any Frontend language like ReactJs, AngularJS is added advantage
Knowledge of NodeJs is an added advantage
Team spirit and Good problem-solving skills
Write effective, scalable code.
Develop back-end components to improve responsiveness and overall performance.
Integrate user-facing elements into applications with third-party web services.
Test and debug programs.
Improve functionality of existing systems.
Implement security and data protection solutions.
Assess and prioritize feature requests.
Coordinate with client and internal teams to understand user requirements and provide technical solutions.
Should have experience using server-side logic and work well in a team.
Build highly responsive web applications that align with our business needs.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
BackendFront endWeb servicesWeb technologiesHP data protectorDjangoDebuggingJavascriptPythonCSS3"|30+ days ago|548|['Backend', 'Front end', 'Web services', 'Web technologies', 'HP data protector', 'Django', 'Debugging', 'Javascript', 'Python', 'CSS3']|Any Graduate|Post Graduation Not Required|1|
133|PYTHON DEVELOPERS-Intern|Not Disclosed|0 - 1 years|"Job description
Job description
We require a strong candidate who is able to work independently across scripting and automation tasks utilizing Python
Candidate must be self-learner and should be able to work independently with minimal assistance and available online resources and should be flexible to work under pressure. Should be good to adhering the timeframes. Good on coordination.
Responsibilities:
Write automation scripts for data collection
Hands-on Python Development
Prepare API Endpoint which will serve data to front-end web application
Strong problem solving and reverse engineering
Expertise in web python frameworks(Django)
Agile methodologies
Knowledge of ORM(object-relational mapping)
Good understanding of Web services and REST API
Understanding of Databases and SQL
Knowledge of TLC scripting
Store data in a database (Elastic search and MySQL)
Skills Required:
Python data processing and good knowledge of python libraries (Data structures, Pandas)
Knowledge of Machine learning libraries.
Ability to manipulate data (InsertDeleteSearch etc) in Elasticsearch and Mysql through python
Proficient understanding of code versioning tools
Ability to work alone on smallmedium level projects.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
AutomationFront endDjangoMySQLMachine learningAgileData structuresData processingSQLPython"|30+ days ago|779|['Automation', 'Front end', 'Django', 'MySQL', 'Machine learning', 'Agile', 'Data structures', 'Data processing', 'SQL', 'Python']|Any Graduate|Post Graduation Not Required|1|
134|Python Developer Fresher|₹ 1,00,000 - 2,00,000 P.A.|0 - 1 years|"Job description
Roles and Responsibilities 
a. Any graduate, preferably BE / MCA (2020 / 2021 passout) with atleast 60% marks in academics.
b. Should have good communication skills.
c. Should be willing to travel to customer locations.
d. Please send profile to balajim@melss.com
Desired Candidate Profile 
Trained / Certified in Python will be added advantage.
Perks and Benefits 

RoleBack End Developer
Industry TypeElectronics Manufacturing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :BCA in Any Specialization, B.Tech/B.E. in Electronics/Telecommunication, Instrumentation, Mechanical, Computers, Electrical, B.Sc in Chemistry, Physics, Computers, Electronics
PG :MCA in Computers
Key Skills
Python
DjangoMongoDB
Skills highlighted with ‘‘ are preferred keyskills"|30+ days ago|460|['Python', 'Django', 'MongoDB']|BCA in Any Specialization, B.Tech/B.E. in Electronics/Telecommunication, Instrumentation, Mechanical, Computers, Electrical, B.Sc in Chemistry, Physics, Computers, Electronics|MCA in Computers|5|
135|Python Developer|Not Disclosed|0 - 2 years|"Job description
Applicants must know some Python and enjoy working hard and learning new things. Novice and mid-level developers will work their guts out on internal projects until they're proficient enough to do client work.
Nice-To-Haves:
Python: Twisted, Pyside / QML, pip
Mobile: Android (Java), iOS (Objective C)
Web: Django, AngularJS, HTML, CSS, JavaScript, Bootstrap, jQuery, LESS
Linux: Bash, Salt, PostgreSQL, Git
Telephony: FreeSWITCH, OpenSIPS
Please reply with your resume, wage requirements, and/or any portfolio materials you might have. If your wage requirements make sense for your level of skill/experience, you're very likely to get an interview.
10 A.M. - 6 P.M. (IST)
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers, BCA in Computers
PG :MCA in Computers
Key Skills
serverobjective cpythonjavasoftware developmentpostgresqllinuxandroidjavascriptjquery"|30+ days ago|2267|['server', 'objective c', 'python', 'java', 'software development', 'postgresql', 'linux', 'android', 'javascript', 'jquery']|B.Tech/B.E. in Computers, BCA in Computers|MCA in Computers|1|
136|Python Developer (DM - 3406)|Not Disclosed|0 - 1 years|"Job description
Skills -:
1) Should have good command over the python language.
2) Candidate must have knowledge of one of Python frameworks such as Django/Flask
3) Candidates should have Good Communication and Presentation Skills.
4) Candidate should have very Good Logical and Analytical Skills
5) Candidate should have basic database knowledge
6) Candidate should have knowledge of UML diagrams
7) Candidate must have good knowledge of Data Structure
8) Candidate can work in team as well as individual
Roles and Responsibilities -:
1) Candidate must have good knowledge of Data Structure
2) Good problem-solving skills
3) Develop back-end components to improve responsiveness and overall performance
4) Contribute to the ongoing proof of concepts and feature development of the products, working with the broadly defined scope and estimates
5) Should have understanding of code versioning tool such as Git, SVN
6) Knowledge of Cloud services is an added advantage
You can also apply via-https://careers.oodles.io/jobs/655/
RoleSoftware Development - Other
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
pythonDjangoflask
presentation skills
Skills highlighted with ‘‘ are preferred keyskills"|26 days ago|1010|['python', 'Django', 'presentation skills']|Any Graduate|Any Postgraduate|2|
137|Urgent Requirement For Dot Net Developer /python/react|Not Disclosed|0 - 1 years|"Job description
Dear Candidate ,

Greetings, Here is a chance to be part of SPI Global , we are happy to inform you that currently we are hiring fresher candidates for the role of DOT NET/PYTHON/REACT

Experience - 0-2 yrs
Location - Trichy(Navalpattu Village )
Shift - Flexible shift timing( 9hrs of Working)
Notice Period - 15 Days / Immediate
1 Year of service level bond(Mandatory)
Annual Salary - 4,50,000 - 5,80,000

Mode of interview - Virtual
Bachelors degree or higher in a computational field is mandatory (2020, 2021, 2022)
certification course on python , dot net, react are eligible to apply .
Intrested candidates can share your resume to the below mentioned mail id - pavithra.ravi1@straive.com

Contact Person - Pavithra
Contact Number - 8939367577/Pavithra.ravi1@straive.com

Thanks & Regards
Pavithra.R -HR Team
SPI Global 8939367577


RoleFull Stack Developer
Industry TypeBPO / Call Centre
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
Key Skills
python.net
JavaC++asp.netHTMLreactASPSQL
Skills highlighted with ‘‘ are preferred keyskills"|17 days ago|726|['python', '.net', 'Java', 'C++', 'asp.net', 'HTML', 'ASP', 'SQL']|Any Graduate||50|
138|Python Developer Intern|Not Disclosed|0 - 1 years|"Job description
Python Developer responsibilities include writing and testing code, debugging programs, and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well in a team.
Ultimately, you will build robust Python apps that align with our business needs.
RESPONSIBILITIES
Write effective, scalable code.
Develop back-end components to improve responsiveness and overall performance.
Integrate user-facing elements into applications.
Test and debug programs
Improve functionality of existing systems.
Implement security and data protection solutions.
Assess and prioritize feature requests.
Coordinate with internal teams to understand user requirements and provide technical solutions.
REQUIREMENTS
Knowledge in Flask Python framework
Python using Pandas, Numpy etc.
Knowledge of object-relational mapping (ORM)
Familiarity with front-end technologies (like JavaScript and HTML5)
Team spirit
Good problem-solving skills
RoleBack End Developer
Industry TypeRecruitment / Staffing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Object - Relational MappingPython FrameworkHtml5Python DeveloperJavascriptOrmWeb ServicesBack - EndFlaskSide Logic"|30+ days ago|1173|['Html5', 'Python Developer', 'Javascript', 'Orm', 'Web Services', 'Back - End']|Any Graduate|Any Postgraduate|1|
139|Python Developer|Not Disclosed|0 - 2 years|"Job description
Employment Type: Permanent

Qualifications:

a. Any Graduate with overall score of 60% or above

Great opportunity.!

We are looking for a young graduates who are willing to start a career with exposure of latest technologies and to join with us immediately with below desired skill set. Candidate must have good knowledge in python , those who are completed the course and having some experience in python project will be highly preferred.

Responsibilities:

1. Execute full cloud software development and support life cycle

2. Document and maintain software functionality

3. Troubleshoot , debug and upgrade existing system

4. Deploy programs and evaluate user feedback

5. Ensure software is updated with latest features , trends & technologies

6. Develop well - designed , testable software

Technical Skills:

Python , PostgreSQL , Java Script , HTML , CSS

Desired Skills:

Exposure to Machine learning

Responsibilities

Exposure / Requirements:

1. Proficiency in software engineering tools

2. Agile methodology

3. Ability to document requirements and specifications

4. Design and development of Mobile Apps , GPS integration

5. Exposure to Quality practices (such as CMMI , ISO)
RoleBack End Developer
Industry TypeRecruitment / Staffing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
ISOPostgresqlMachine learningPython DeveloperJavascriptCMMIDeploymentHTMLAgile methodologyTroubleshootingPython"|30+ days ago|4749|['ISO', 'Postgresql', 'Machine learning', 'Python Developer', 'Javascript', 'CMMI', 'Deployment', 'HTML', 'Agile methodology', 'Troubleshooting', 'Python']|B.Tech/B.E. in Computers|M.Tech in Computers|1|
140|Test Python Developer|Not Disclosed|0 - 6 years|"Job description
We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end.
You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well.Writing reusable, testable, and efficient code
Design and implementation of low-latency, high-availability, and performant applications
Integration of user-facing elements developed by front-end developers with server side logic
Implementation of security and data protection
Integration of data storage solutions.
Responsibilities
Consult with employers to identify needs and preferred qualifications
Interview applicants about their experience, education and skills
Contact references and perform background checks
Inform applicants about job details such as benefits and conditions
Hire or refer qualified candidates
Conduct new employee orientations
Process paperwork


  RoleBack End Developer
Industry TypeRecruitment / Staffing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
SIDEFront endWeb technologiesHP data protectorConsultingManagementPythonTesting"|30+ days ago|966|['SIDE', 'Front end', 'Web technologies', 'HP data protector', 'Consulting', 'Management', 'Python', 'Testing']|Any Graduate|Post Graduation Not Required|1|
141|Python Developer Trainee|Not Disclosed|0 - 1 years|"Job description
You will be part of a high impact engineering team that builds the NextGen Product suite involving Cloud, Container and Serverless technologies. The job position involves constant learning and innovation by utilizing the latest technology trends such as artificial intelligence, analytics and machine learning.
Primary Responsibilities
Product Development and System Integration using Python and other open source technologies
Participate in RD activities led by architects
Contribute in product engineering and system integration
Perform system integration for various private cloud platforms
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Production/Industrial
PG :Post Graduation Not Required
Key Skills
Cloud ComputingOpen SourceFinancial ServicesServerless TechnologiesArtificial IntelligencePrivate CloudMicrosoft AzureProduct EngineeringAwsPython"|30+ days ago|1448|['Cloud Computing', 'Open Source', 'Financial Services', 'Artificial Intelligence', 'Private Cloud', 'Microsoft Azure', 'Product Engineering', 'Aws', 'Python']|B.Tech/B.E. in Production/Industrial|Post Graduation Not Required|1|
142|Python Django Developer|Not Disclosed|0 - 5 years|"Job description
We are hiring for a Python Django Developer who can join our engineering team.
Key Skills: Django , Django Rest Framework, Python , ORM, Rest API
Permanent work from home or work from office both are available.
Requirements:
- Exp- 0.5 - 3+year
- Worked on live project of django
- Must have good knowledge of Rest API
- Must have good knowledge of Django ORM
-Solid understanding of Data structures and Algorithms.
- Familiarity with best practices and design patterns of programming languages.
- Strong understanding of Python and Django.
- Good knowledge of various Python Libraries, APIs, and tool kits.
- Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3.
- Proficient understanding of code versioning tools such as Git.
Responsibilities:
Comply with coding standards and technical design.
Adapts structured coding styles for easy review, testing, and maintainability of the code.
Active participation in troubleshooting and debugging.
Preparing technical documentation of code.
Contact No.: 8054942360
Permanent work from home
RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
Python
Django ORMDjangoJavaScriptHTML5Django Rest FrameworkRest APiAlgorithmData Structure
Skills highlighted with ‘‘ are preferred keyskills"|30+ days ago|1372|['Python', 'Django', 'JavaScript', 'HTML5', 'Algorithm', 'Data Structure']|Any Graduate|Any Postgraduate||Doctorate Not Required
143|Python Developers|Not Disclosed|0 - 1 years|"Job description
Experience (0-1yrs) knowledge in OOPs Concept/Core Python is prefered.
Should be familier with Advanced Python and Django.
Should be able to learn new languages and ready to work under pressure situations if required
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
DjangoOOPSDeveloperPython"|30+ days ago|1937|['Django', 'OOPS', 'Developer', 'Python']|Any Graduate|Post Graduation Not Required|1|
144|Python Developers|Not Disclosed|0 - 3 years|"Job description
We are looking for Python developers who can confidently work unassisted and deliver high- quality solutions:

Should have knowledge of back- end as well as front- end modules
Should be comfortable with
DB schema design
Integration/ Interface design
Should be well versed with REST (or SOAP) based web services
Knowledge of Service Oriented Architecture
Knowledge of Basic QA methodologies Responsibilities:

Be involved in all aspects of development: playing a critical role in design, planning, development and deployment
Help develops best practices for future development.
Conceptualize, Design and Develop new features in the product.
Own the delivery of an entire piece of a system or application.
Use technical knowledge and creative thinking to provide the most innovative solutions.
Optimizing performance of the components and keeping up to date with the latest industry trends. Required Technologies

Python
Django framework
HTML, CSS and JavaScript
REST APIs
MySQL
ORM (SQL Alchemy, Django- ORM etc)
SOAP/ REST web services.

RoleBack End Developer
Industry TypeFinancial Services
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
RestFront endWeb servicesMySQLSchemaJavascriptHTMLBusiness ExecutiveSQLPython"|30+ days ago|2750|['Rest', 'Front end', 'Web services', 'MySQL', 'Schema', 'Javascript', 'HTML', 'Business Executive', 'SQL', 'Python']|B.Tech/B.E. in Computers|Post Graduation Not Required|1|
145|Python Developer|Not Disclosed|0 - 5 years|"Job description
Job Description
Create web applications in frappe and Django framework.
Understand existing projects on Django and extend current functionality.
Customize ERP software application to achieve desired functionality.
Build reports using python/SQL queries on relational database.
Understand client requirement and build functionality to achieve desired results
Key Skills
Strong knowledge of Core Python and programming concepts.
Working knowledge of NumPy and Pandas library will be preferred.
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Understanding of fundamental design principles behind a scalable application
Understanding of code versioning tool like Git
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
SQL queriesERPFront endGITLinuxDjangoJavascriptDatabasePythonCSS3"|30+ days ago|747|['SQL queries', 'ERP', 'Front end', 'GIT', 'Linux', 'Django', 'Javascript', 'Database', 'Python', 'CSS3']|Any Graduate|Post Graduation Not Required|1|
146|Python Django Developer|Not Disclosed|0 - 1 years|"Job description
Desired Experience
0-1 yrs of experience in Python Django Development.
Qualification
BE/ B Tech/ M Tech/ MCA and any Graduate.
Skills Required
Python/Django (HTML/CSS/Javascript/jquery)
Responsible for understanding project requirements, and develop the application modules to meet the requirements as provided in the Design Documents.
Responsible for Unit design and coding.
Work with developers and architects, to ensure bug free and timely delivery of allocated development tasks.
Responsible for implementing and following standards and guidelines with coding best practices in mind.
Provide support for production systems in the form of enhancements, maintenance and minor bug fixes.
Responsible for conducting proper unit testing.
Exposure to Python / Django / Java web based application (client-server) development along with database fundamentals.
Knowledge of WebServices, JSON APIs, Angular JS would be and added advantage.
RoleBack End Developer
Industry TypeRecruitment / Staffing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :MCA in Computers
Key Skills
jQueryWeb servicesCodingDatabase FundamentalsDjangoJavascriptHTMLJSONUnit testingPython"|30+ days ago|2884|['jQuery', 'Web services', 'Coding', 'Django', 'Javascript', 'HTML', 'JSON', 'Unit testing', 'Python']|Any Graduate|MCA in Computers|1|
