|Job Applicants:|Openings:|PG :|Posted:|UG :|experience|job_desc|key_skills|position|salary|Doctorate :
0|Less than 10|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|3 - 8 years|"Job description
Job Description:


The candidate must have experience in programming in C/ C .

Prior experience in the design, architecture and development of management interfaces like SNMP, CLI and Web for embedded networking routers devices is essential.

Prior experience programming in embedded RTOS platforms and good understanding of technologies like TR- 069, AAA / RADIUS / TACACS is a strong plus.


RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
developmentinterfacescnetworkingsnmprtoswebradiusembeddedroutersprogrammingarchitecture"|['development', 'interfaces', 'c', 'networking', 'snmp', 'rtos', 'web', 'radius', 'embedded', 'routers', 'programming', 'architecture']|Software Developer - WEB- UI/ SNMP/ CLI|Not Disclosed|
1|10|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|3 - 8 years|"Job description

The candidate must have experience in programming in C/ C .

Prior experience in the design, architecture and development of management interfaces like SNMP, CLI and Web for embedded networking routers devices is essential.

Prior experience programming in embedded RTOS platforms and good understanding of technologies like TR- 069, AAA / RADIUS / TACACS is a strong plus.


RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Embedded, EDA, VLSI, ASIC, Chip Design
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
developmentinterfacescnetworkingsnmprtoswebradiusroutersembeddedprogrammingarchitecture"|['development', 'interfaces', 'c', 'networking', 'snmp', 'rtos', 'web', 'radius', 'routers', 'embedded', 'programming', 'architecture']|Software Developer - WEB- UI/ SNMP/ CLI|Not Disclosed|
2|11|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|3 - 8 years|"Job description
Job Description:


The candidate will be responsible for the design and development of advanced IP routing and forwarding features on different networking platforms.

The candidate must have experience in software design and development of one or more of the following technologies - IPv4 and IPv6 routing protocols like BGP, OSPF , RIP, PIM, IPv4 and IPV6 unicast and multicast forwarding.

Prior experience in development of protocol stacks in RTOS systems is a strong plus


RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - System Programming
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
ip routingdevelopmentsoftwaresoftware designnetworkingbgpforwardingospfmulticastdesign and developmentrtosipv6design"|['ip routing', 'development', 'software', 'software design', 'networking', 'bgp', 'forwarding', 'ospf', 'multicast', 'design and development', 'rtos', 'ipv6', 'design']|Software Developer - IP Routing|Not Disclosed|
3|14|1|Post Graduation Not Required|30+ days ago|BCA in Computers, B.Tech/B.E. in Production/Industrial|2 - 5 years|"Job description
Estimate testing scope, plan monitor testing for the project.
Derive test cases from the requirements.
Execute test cases manually.
Automate test cases.
Support existing automation framework contribute to its improvements.
Test integration of Mobile applications with other applications (with other Mobile applications, with web applications, with REST APIs)
Work with bugs throughout their lifecycle.
Prepare test documentation.
Collaborate with other applications' teams.
Ensure the quality of not only the code also - the requirements the processes.
RoleQuality Assurance/Quality Control Executive
Industry TypeIT Services & Consulting
Functional AreaIT Software - QA & Testing
Employment TypeFull Time, Permanent
Role CategoryQA/Testing/Documentation
Education
UG :BCA in Computers, B.Tech/B.E. in Production/Industrial
PG :Post Graduation Not Required
Key Skills
automation frameworkTest case executionWeb technologiesSoftware Quality AnalystTest casesMobile applicationsMonitoringTesting"|['automation framework', 'Test case execution', 'Web technologies', 'Software Quality Analyst', 'Test cases', 'Mobile applications', 'Monitoring', 'Testing']|Software Quality Analyst|Not Disclosed|
4|Less than 10|1|Post Graduation Not Required|30+ days ago|Any Graduate|2 - 3 years|"Job description
Job Description
We are looking for engineers, developers, and/or scientist that loves solving practical problems, who can keep his cool when problems get tough.
What we expect from you as a software architect is, you have to lead the design effort on a variety of projects in a highly collaborative manner.
Your role is to design innovative solutions to real market problems.
You will work closely with product and marketing managers, user interaction designers, and other software engineers to develop new applications and improve existing ones.
Roles and Responsibilities
Identify the appropriate software architecture based on the requirements and design elements contained in a system specification
Record software architecture in a software architecture document using use cases and the Unified Modeling Language (UML)
Analyze risk and report problems in meeting system requirements
Provide supporting information to the Engineers to aid in the creation of a system specification
Assist Software Designer/Implementers with the creation of detailed software design specifications
Lead the review process for software architecture documents
Perform software version control and maintain periodic compilation schedule
Participate in the system specification review process to ensure system requirements can be translated into valid software architecture
Comply with all applicable product development processes.
Perform detailed software design as well as implements and/or maintains code according to duties and responsibilities
Ensure the overall integrity of the software architecture and validates it against the system specification
Integrate internal and external product design into a cohesive user experience
Work with visual designers to improve and refine product visual design and consistency
Qualifications Required
Bachelor's or Master's degree in computer science or related field
At least 5 years experience in large designs and coordinating project teams in software industry
At least 4 years of relevant work experience on java and j2ee technologies
Must be organized, have an eye for detail, and be able to put ideas into a tangible form
Ability to prioritize and manage work to critical project timelines in a fast-paced environment
Ability to develop new approaches to complex design problems
Mastery of user interaction design skills
Excellent interpersonal and communication skills
RoleSystem Analyst
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Software Architect"|['Software Architect']|Software architect|Not Disclosed|
5|48|1|M.Tech in Electronics/Telecommunication, MCA in Computers|30+ days ago|BCA in Computers, Any Graduate, B.Tech/B.E. in Production/Industrial|1 - 6 years|"Job description
Minimum Qualifications BCA / B.E./ B.Tech / MCA / M.Tech / Equivalent - Any Graduate
Job Description
Looking for PartTime/FullTime/Freelance software tester (manual and automation) as trainer who can spend at least 2 hours/Day to trained our fresher trainee at our location.
Responsibilities
1+ years of work experience as trainer as software tester to trained fresher.
Candidate should have knowledge of core java, manual testing and automation tools like selenium IDE.
Having knowledge of functional, regression and ad-hoc testing, Prepare test case for Unit, Functional, Load, Integration and system level.
Strong knowledge of Software QA methodologies, tools (Selenium / QTP/ Jmeter / Web driver), and processes.
Good understanding of MVC and Working Experience of any framework like Zend, CakePHP, CI, Yii, Laravel etc.
Strong verbal and written (technical) communication skills to explain bugs and other issues identified and produce bug reports, documentation and feedback to both product owners and software developers.
Must be good in QA/ Software Testing concepts ( such as STLC, Defects Tracking) and Agile Methodology and basic knowledge of SQL (DDL DML)
Those who thinking for Long Term as trainer with Existing job Can apply today or walk for an interview
Preferred Qualifications
Certification/Trainer experience in relevant technologies would be preferred First.
Technically strong BE/MCA/Msc or any graduate IT experienced developer
RoleTesting Engineer
Industry TypeEducation / Training
Functional AreaIT Software - QA & Testing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :BCA in Computers, Any Graduate, B.Tech/B.E. in Production/Industrial
PG :M.Tech in Electronics/Telecommunication, MCA in Computers
Key Skills
TCPC++MultithreadingLinuxLinux kernelPackagingSchedulingJPEGFirmwarePython"|['TCP', 'C++', 'Multithreading', 'Linux', 'Linux kernel', 'Packaging', 'Scheduling', 'JPEG', 'Firmware', 'Python']|Software Tester Trainer|Not Disclosed|
6|651|1|CA in CA|30+ days ago|BCA in Computers, Any Graduate, B.Tech/B.E. in Any Specialization|2 - 7 years|"Job description
Role & Responsibilities:
We are looking for bright, experienced Test Engineers to be a part of a talented team of technology professionals.
Analyze the requirements for building test plan and test cases.
Contribute towards functional and non-functional testing.
Take ownership of testing certain modules and collaborate with product and technology teams.
Meet the challenge of thinking business problem as and when the opportunity presents itself.
Growing and maintaining test cases.
Capturing and monitoring metrics for each system under test.
Executing Tests, Debugging, Analysing Results, Defect Reporting & Tracking.
Write SQL queries to build and validate information.
Work with Elastic search and similar tools as applicable to check and validate test results.
Work Experience & Domain Knowledge:
Must have-
2+ years of experience in Testing web based applications.
1+ years of experience in testing Web Applications built using React or Angular o Vue.js.
Understanding of REST API and JSON.
Good problem-solving skills
Commitment to work, and strong professional ethics
Knowledge on Agile STLC.
Basic SQL knowledge.
Good to have:
Experience with API Testing.
Experience with security or performance testing will be a plus.
Qualifications:
B.EB. tech, BCA, Graduate
Skills:
SQL To query and create needed test data.
Competent in MS Office
Used defect tracking and test management tools. (JIRA is preferred)
Ability to build test scenarios and data from analysis of requirements.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :BCA in Computers, Any Graduate, B.Tech/B.E. in Any Specialization
PG :CA in CA
Key Skills
SANFunctional testingDebuggingPerformance testingAgileJSONTest casesAnalyticsSQLCRM"|['SAN', 'Functional testing', 'Debugging', 'Performance testing', 'Agile', 'JSON', 'Test cases', 'Analytics', 'SQL', 'CRM']|Software Tester|Not Disclosed|
7|525|1|M.Tech in Electronics/Telecommunication, CA in CA|30+ days ago|B.Tech/B.E. in Any Specialization|4 - 6 years|"Job description
Role & Responsibilities:
Experience in working End-to-End Testing deliverables for medium to large sized IT projects of varying complexity
Should be able to guide, mentor & lead 1-2 Software Test Engineers on writing & execution of test cases.
Should be able to write concise & clear defect reports with appropriate severity and priority.
Should be able to write & review advanced database queries such as Joins.
Very good communication skills.
Good to have experience in creating Automation Frameworks for UI automation using Open source tools such as Selenium, Appius, and Cucumber etc. & maintain them periodically.
Good to have understanding on No SQL databases such as Mongo DB, Elastic Search & should be able to write queries in those.
Good to have understanding on Non Functional Testing Performance Testing such as Performance testing and Security testing
Typically, SST will spend (75 % time of hands on work) + (25 % Time in Leadership activities) such as Reviewing junior resources work, providing constructive feedback & Attending Release planning meetings.
Good to have knowledge on Defect & document Management tools such as Trac, JIRA, Confluence
Work Experience & Domain Knowledge:
Must have
Minimum 4-6 years of relevant testing manual testing experience.
Experience in UIFront-End testing
Ability to create, write & review data driven test cases.
Experience in Software Development Methodologies such as Waterfall, Iterative, Agile & Scrum
Good to have experience in writing, executing & maintaining automated test scripts
Good oral and written communication skills
Strong problem solving and troubleshooting skills
Qualifications
BEBTechMTech from reputed universities
Skills
Excellent analytical skills
Enthusiasm for working in a team to solve interesting problems
RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :M.Tech in Electronics/Telecommunication, CA in CA
Key Skills
SANManual testingFunctional testingPerformance testingSeleniumTroubleshootingOpen sourceAnalyticsSQLCRM"|['SAN', 'Manual testing', 'Functional testing', 'Performance testing', 'Selenium', 'Troubleshooting', 'Open source', 'Analytics', 'SQL', 'CRM']|Senior Software Tester (SST)|Not Disclosed|
8|80|1|Any Postgraduate|30+ days ago|Any Graduate|3 - 8 years|"Job description


MSBI , SQL Server, Rockwell Software

6 months- 3 years experience in Sql Server, SSAS, SSRS, SSIS. Using Rockwell Software Collect the Data . Using MS Sql Server Store the data . MS BI - Using Reporting Services creating Customized reports as per the requirement

RoleSoftware Developer
Industry TypeIndustrial Equipment / Machinery
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
MS SQLSSASReporting servicesSSRSRockwell softwareMSBISSIS"|['MS SQL', 'SSAS', 'Reporting services', 'SSRS', 'Rockwell software', 'MSBI', 'SSIS']|MSBI, SQL Server, Rockwell Software|Not Disclosed|
9|Less than 10|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|4 - 5 years|"Job description
Hi, we have an urgent opening for Software Developer for our client who is among the Youngest Indian IP Law Firms to have been Ranked and Recommended by Legal 500, Managing IP, Asia IP and is Representing Numerous Indian and Global Corporates, SME's, Universities, and Individual Inventors, from Across Technology and Business Verticals. The Company is having Strong Associate Base in United States, European Union, Singapore, Israel, Japan, China, Korea, ARIPO, and Australia.
Job position: - Software Developer
Qualification: - bachelors degrees in computer science or software engineering.
Experience: - . 4- 5 years in ASP. NET and other web development platforms.
Salary: - upto 6 Lakhs per annum
Job Description: -
1. Candidate should have a substantive, hands- on, and focused experience of at least 4- 5 years in ASP. NET and other web development platforms.
2. Candidate should be willing to work independently to help develop one or more softwares for an Intellectual Property (IP) Law Firm including modifications, customizations, and incorporating client feedback.
3. Should be an individual contributor, positive thinker, and willing to take challenges to develop and manage multiple softwares that the Law Firm intends to develop.
4. Should be willing to settle in Noida/ Gr. Noida region for face to face and time- sensitive software development.
5. Should also assist in helping the firm strengthening its IT practices, incorporating stronger network security policies, implement IT procedures, manuals for efficient and secure work management. Should therefore have well- rounded back of hardware as well as software knowledge across industries, platforms, and technologies.
Work Days & timing: - 9am- 6. 30pm, Mon- Sat (1st & 3rd Sat- off)
Gender: - Male/ Female (preferred from Greater Noida)
Location: - Kasna Road, Greater Noida
RoleSoftware Developer
Industry TypeRecruitment / Staffing
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
JAVABusiness AnalystsdevelopmentArchitectsXMLdesignSQL. Androidios developmentPLLead DevelopersSQL"|['JAVA', 'Business Analysts', 'development', 'Architects', 'XML', 'design', 'ios development', 'PL', 'Lead Developers', 'SQL']|Urgent Hiring for Software Developer|Not Disclosed|
